"Book Title","ISBN","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"Jonathan Strange & Mr Norrell","9780765356154","Susanna Clarke","English","1006","Tor Books","August 1st 2006","['Historical', 'Historical Fiction', 'Historical', 'Abandoned', 'Science Fiction', 'Alternate History', 'Audiobook']","https://www.goodreads.com/book/show/14201.Jonathan_Strange_Mr_Norrell"
"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)","9780061234002","Steven D. Levitt","English","320","William Morrow","October 17th 2006","['Economics', 'Nonfiction', 'Business', 'Science', 'Psychology', 'Sociology']","https://www.goodreads.com/book/show/1202.Freakonomics"
"The Graveyard Book","9780060530921","Neil Gaiman","English","307","HarperCollins","September 30th 2008","['Fantasy', 'Young Adult', 'Fiction', 'Horror', 'Fantasy', 'Paranormal', 'Childrens', 'Childrens', 'Middle Grade', 'Paranormal', 'Ghosts', 'Fantasy', 'Supernatural', 'Audiobook']","https://www.goodreads.com/book/show/2213661.The_Graveyard_Book"
"Everything Is Illuminated","9780060529703","Jonathan Safran Foer","English","276","Harper Perennial","April 1st 2003","['Fiction', 'Historical', 'Historical Fiction', 'Contemporary', 'Novels']","https://www.goodreads.com/book/show/256566.Everything_Is_Illuminated"
"Nineteen Minutes","9780743496728","Jodi Picoult","English","440","Atria Books","March 5th 2007","['Fiction', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Adult', 'Adult Fiction', 'Realistic Fiction']","https://www.goodreads.com/book/show/14866.Nineteen_Minutes"
"Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time","9780143038252","Greg Mortenson","English","349","Penguin","January 30th 2007","['Nonfiction', 'Autobiography', 'Memoir', 'Biography', 'Travel']","https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea"
"The Last Lecture","9781401323257","Randy Pausch","English","206","Hachette Books","April 8th 2008","['Nonfiction', 'Biography', 'Inspirational', 'Philosophy']","https://www.goodreads.com/book/show/2318271.The_Last_Lecture"
"Kafka on the Shore","9781400079278","Haruki Murakami","English","480","Vintage International","January 3rd 2006","['Fiction', 'Magical Realism', 'Cultural', 'Japan', 'Fantasy', 'Asian Literature', 'Japanese Literature']","https://www.goodreads.com/book/show/4929.Kafka_on_the_Shore"
"The Memory Keeper's Daughter","9780143037149","Kim Edwards","English","401","Penguin Books","May 30th 2006","['Fiction', 'Contemporary', 'Adult Fiction', 'Adult', 'Book Club', 'Historical', 'Historical Fiction', 'Drama', 'Womens Fiction', 'Chick Lit', 'Novels', 'Family']","https://www.goodreads.com/book/show/10441.The_Memory_Keeper_s_Daughter"
"The Namesake","9780618485222","Jhumpa Lahiri","English","291","Mariner Books","September 1st 2004","['Cultural', 'India', 'Contemporary', 'Fiction', 'Literary Fiction', 'Novels', 'Literature']","https://www.goodreads.com/book/show/33917.The_Namesake"
"The Brief Wondrous Life of Oscar Wao","9781594489587","Junot DÃ­az","English","335","Riverhead Books","September 6th 2007","['Fiction', 'Contemporary', 'Magical Realism', 'Novels']","https://www.goodreads.com/book/show/297673.The_Brief_Wondrous_Life_of_Oscar_Wao"
"Persepolis: The Story of a Childhood (Persepolis, #1)","9780375714573","Marjane Satrapi","English","153","Pantheon","June 1st 2004","['Sequential Art', 'Graphic Novels', 'Nonfiction', 'Sequential Art', 'Comics', 'Autobiography', 'Memoir', 'Biography']","https://www.goodreads.com/book/show/9516.Persepolis"
"The Art of Racing in the Rain","9781554681723","Garth Stein","English","321","Harper Collins","May 13th 2008","['Fiction', 'Animals', 'Animals', 'Dogs', 'Contemporary', 'Adult Fiction']","https://www.goodreads.com/book/show/3153910-the-art-of-racing-in-the-rain"
"The Corrections","9781841156736","Jonathan Franzen","English","653","Fourth Estate Paperbacks","September 2nd 2002","['Fiction', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'Literature', 'American', 'Abandoned', 'Family', 'Unfinished', 'Adult Fiction']","https://www.goodreads.com/book/show/3805.The_Corrections"
"Oryx and Crake (MaddAddam, #1)","9780385721677","Margaret Atwood","English","400","Anchor Books","March 30th 2004","['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic', 'Fantasy']","https://www.goodreads.com/book/show/46756.Oryx_and_Crake"
"Running with Scissors","9780312422271","Augusten Burroughs","English","304","Picador USA","June 30th 2003","['Autobiography', 'Memoir', 'Nonfiction', 'Biography', 'Humor']","https://www.goodreads.com/book/show/242006.Running_with_Scissors"
"No Country for Old Men","9780375706677","Cormac McCarthy","English","309","Vintage","July 11th 2006","['Fiction', 'Thriller', 'Mystery', 'Crime', 'Westerns', 'Literature', 'Mystery', 'Novels', 'Literature', 'American', 'Contemporary', 'Literary Fiction']","https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men"
