"Book Title","ISBN","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"The Selection (The Selection, #1)","9780062059932","Kiera Cass","English","336","HarperTeen","April 24th 2012","['Young Adult', 'Romance', 'Science Fiction', 'Dystopia', 'Fantasy']","https://www.goodreads.com/book/show/10507293-the-selection"
"Throne of Glass (Throne of Glass, #1)","9781599906959","Sarah J. Maas","English","404","Bloomsbury USA Children's","August 7th 2012","['Young Adult', 'Romance', 'Fantasy']","https://www.goodreads.com/book/show/7896527-throne-of-glass"
"A Dance with Dragons (A Song of Ice and Fire, #5)","-1","George R.R. Martin","English","1125","Bantam","July 12th 2011","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy']","https://www.goodreads.com/book/show/10664113-a-dance-with-dragons"
"Insurgent (Divergent, #2)","9780007442911","Veronica Roth","English","525","HarperCollins Children's Books","May 1st 2012","['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy']","https://www.goodreads.com/book/show/11735983-insurgent"
"Eleanor & Park","9781250012579","Rainbow Rowell","English","328","St. Martin's Press","February 26th 2013","['Young Adult', 'Romance', 'Contemporary', 'Fiction']","https://www.goodreads.com/book/show/15745753-eleanor-park"
"Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children, #1)","9781594744761","Ransom Riggs","English","352","Quirk","June 7th 2011","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Paranormal', 'Mystery', 'Horror', 'Science Fiction', 'Time Travel', 'Historical', 'Historical Fiction', 'Fantasy', 'Supernatural', 'Adventure']","https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children"
"Room","9780316098335","Emma Donoghue","English","321","Little, Brown","September 13th 2010","['Fiction', 'Contemporary', 'Adult', 'Adult Fiction']","https://www.goodreads.com/book/show/7937843-room"
"Clockwork Prince (The Infernal Devices, #2)","9781416975885","Cassandra Clare","English","502","Simon & Schuster, Margaret K. McElderry","December 6th 2011","['Fantasy', 'Young Adult', 'Romance', 'Fantasy', 'Paranormal', 'Science Fiction', 'Steampunk']","https://www.goodreads.com/book/show/10025305-clockwork-prince"
"Clockwork Princess (The Infernal Devices, #3)","9781406321340","Cassandra Clare","English","567","Walker Books Ltd","September 5th 2013","['Fantasy', 'Young Adult', 'Romance', 'Fantasy', 'Paranormal']","https://www.goodreads.com/book/show/18335634-clockwork-princess"
"The Girl on the Train","9781594633669","Paula Hawkins","English","323","Riverhead Books","January 13th 2015","['Mystery', 'Fiction', 'Thriller', 'Mystery', 'Crime']","https://www.goodreads.com/book/show/22557272-the-girl-on-the-train"
"11/22/63","9781451627282","Stephen King","English","849","Scribner","November 8th 2011","['Fiction', 'Historical', 'Historical Fiction', 'Science Fiction', 'Science Fiction', 'Time Travel', 'Fantasy']","https://www.goodreads.com/book/show/10644930-11-22-63"
"The Wise Man's Fear (The Kingkiller Chronicle, #2)","9780756404734","Patrick Rothfuss","English","994","DAW Books","March 1st 2011","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy']","https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear"
"Wonder","-1","R.J. Palacio","English","410","Corgi Childrens","January 3rd 2013","['Young Adult', 'Fiction', 'Realistic Fiction', 'Contemporary', 'Childrens', 'Middle Grade']","https://www.goodreads.com/book/show/23302416-wonder"
"The Goldfinch","9780316055437","Donna Tartt","English","771","Little, Brown","October 22nd 2013","['Fiction', 'Contemporary', 'Literary Fiction']","https://www.goodreads.com/book/show/17333223-the-goldfinch"
"City of Lost Souls (The Mortal Instruments, #5)","9781442416864","Cassandra Clare","English","534","Margaret K. McElderry","May 8th 2012","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/8755776-city-of-lost-souls"
"City of Fallen Angels (The Mortal Instruments, #4)","9781442403543","Cassandra Clare","English","424","Simon & Schuster Children's, Margaret K. McElderry Books","April 5th 2011","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/6752378-city-of-fallen-angels"
"The Son of Neptune (The Heroes of Olympus, #2)","9781423140597","Rick Riordan","English","521","Disney-Hyperion Books","October 4th 2011","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/9520360-the-son-of-neptune"
"Legend (Legend, #1)","9780399256752","Marie Lu","English","305","Putnam Juvenile","November 29th 2011","['Young Adult', 'Romance', 'Fantasy', 'Science Fiction', 'Fiction', 'Adventure', 'Science Fiction', 'Dystopia', 'Young Adult', 'Teen', 'Action', 'Apocalyptic', 'Post Apocalyptic']","https://www.goodreads.com/book/show/9275658-legend"
"Unbroken: A World War II Story of Survival, Resilience and Redemption","9781400064168","Laura Hillenbrand","English","473","Random House","November 16th 2010","['Nonfiction', 'History', 'Biography', 'War', 'War', 'World War II', 'Historical']","https://www.goodreads.com/book/show/8664353-unbroken"
"The Mark of Athena (The Heroes of Olympus, #3)","9781423140603","Rick Riordan","English","586","Disney-Hyperion","October 2nd 2012","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/12127750-the-mark-of-athena"
"Allegiant (Divergent, #3)","9780007524273","Veronica Roth","English","526","HarperCollins Children's Book's","October 22nd 2013","['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Science Fiction']","https://www.goodreads.com/book/show/18710190-allegiant"
"Fangirl","-1","Rainbow Rowell","English","481","St. Martin's Press","September 10th 2013","['Young Adult', 'Contemporary', 'Realistic Fiction']","https://www.goodreads.com/book/show/16068905-fangirl"
"The Ocean at the End of the Lane","9780062255655","Neil Gaiman","English","181","William Morrow Books","June 18th 2013","['Fiction', 'Fantasy', 'Horror', 'Magical Realism', 'Adult']","https://www.goodreads.com/book/show/15783514-the-ocean-at-the-end-of-the-lane"
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)","-1","Sarah J. Maas","English","626","Bloomsbury USA Childrens","May 3rd 2016","['Fantasy', 'Romance', 'Young Adult', 'New Adult']","https://www.goodreads.com/book/show/17927395-a-court-of-mist-and-fury"
"The House of Hades (The Heroes of Olympus, #4)","9781423146728","Rick Riordan","English","597","Disney-Hyperion Books","October 8th 2013","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology', 'Adventure']","https://www.goodreads.com/book/show/12127810-the-house-of-hades"
"Red Queen (Red Queen, #1)","9781409151173","Victoria Aveyard","English","383","Orion","February 10th 2015","['Fantasy', 'Young Adult', 'Science Fiction', 'Dystopia', 'Fiction']","https://www.goodreads.com/book/show/17878931-red-queen"
"Cress (The Lunar Chronicles, #3)","9780312642976","Marissa Meyer","English","552","Feiwel & Friends","February 4th 2014","['Young Adult', 'Fantasy', 'Science Fiction', 'Romance']","https://www.goodreads.com/book/show/13206828-cress"
"The Nightingale","9780312577223","Kristin Hannah","English","440","St. Martin's Press","February 3rd 2015","['Adult', 'War', 'World War II', 'Adult Fiction']","https://www.goodreads.com/book/show/21853621-the-nightingale"
"The Immortal Life of Henrietta Lacks","9781400052172","Rebecca Skloot","English","370","Crown Publishing Group","February 2nd 2010","['Nonfiction', 'Science', 'Biography', 'History', 'Health', 'Medicine', 'Book Club', 'Audiobook', 'Medical', 'Historical', 'Adult']","https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks"
"City of Heavenly Fire (The Mortal Instruments, #6)","9781481426305","Cassandra Clare","English","725","Margaret K. McElderry","May 27th 2014","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/8755785-city-of-heavenly-fire"
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)","9780316134026","Laini Taylor","English","422","Little, Brown Books for Young Readers","September 27th 2011","['Fantasy', 'Young Adult', 'Romance', 'Fantasy', 'Paranormal', 'Paranormal', 'Angels']","https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone"
"The Way of Kings (The Stormlight Archive, #1)","9780765326355","Brandon Sanderson","English","1007","Tor Books","August 31st 2010","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']","https://www.goodreads.com/book/show/7235533-the-way-of-kings"
"Shatter Me (Shatter Me, #1)","9780062085481","Tahereh Mafi","English","338","Harper","November 15th 2011","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance', 'Fantasy']","https://www.goodreads.com/book/show/10429045-shatter-me"
"Scarlet (The Lunar Chronicles, #2)","9780312642969","Marissa Meyer","English","454","Feiwel & Friends","February 5th 2013","['Fantasy', 'Young Adult', 'Science Fiction']","https://www.goodreads.com/book/show/13206760-scarlet"
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)","9781619634442","Sarah J. Maas","English","416","Bloomsbury USA Childrens","May 5th 2015","['Fantasy', 'Young Adult', 'Romance', 'New Adult']","https://www.goodreads.com/book/show/16096824-a-court-of-thorns-and-roses"
"Delirium (Delirium, #1)","9780061726835","Lauren Oliver","English","441","HarperCollins","February 7th 2012","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance']","https://www.goodreads.com/book/show/11614718-delirium"
"Matched (Matched, #1)","9780525423645","Ally Condie","English","369","Dutton Books for Young Readers","November 30th 2010","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance']","https://www.goodreads.com/book/show/7735333-matched"
"And the Mountains Echoed","9781594631764","Khaled Hosseini","English","404","Riverhead Books","May 21st 2013","['Historical', 'Historical Fiction', 'Contemporary', 'Adult Fiction', 'Adult']","https://www.goodreads.com/book/show/16115612-and-the-mountains-echoed"
"The Blood of Olympus (The Heroes of Olympus, #5)","9781423146735","Rick Riordan","English","516","Disney-Hyperion Books","October 7th 2014","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology']","https://www.goodreads.com/book/show/18705209-the-blood-of-olympus"
"Anna and the French Kiss (Anna and the French Kiss, #1)","9780525423270","Stephanie Perkins","English","372","Dutton Juvenile","December 2nd 2010","['Young Adult', 'Romance', 'Contemporary', 'Womens Fiction', 'Chick Lit']","https://www.goodreads.com/book/show/6936382-anna-and-the-french-kiss"
"Crown of Midnight (Throne of Glass, #2)","9781619630628","Sarah J. Maas","English","418","Bloomsbury USA Childrens","August 27th 2013","['Fantasy', 'Young Adult', 'Romance']","https://www.goodreads.com/book/show/17167166-crown-of-midnight"
"1Q84","9780307593313","Haruki Murakami","English","925","Knopf","October 25th 2011","['Fiction', 'Fantasy', 'Cultural', 'Japan', 'Magical Realism', 'Science Fiction']","https://www.goodreads.com/book/show/10357575-1q84"
"Last Sacrifice (Vampire Academy, #6)","9781595143068","Richelle Mead","English","608","Razorbill","December 7th 2010","['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Paranormal', 'Fantasy', 'Fantasy', 'Urban Fantasy']","https://www.goodreads.com/book/show/6527740-last-sacrifice"
"The Rosie Project (Don Tillman, #1)","9781476729084","Graeme Simsion","English","297","Simon & Schuster","October 1st 2013","['Fiction', 'Romance', 'Contemporary', 'Humor', 'Womens Fiction', 'Chick Lit']","https://www.goodreads.com/book/show/16181775-the-rosie-project"
"Bossypants","-1","Tina Fey","English","283","Reagan Arthur Books","April 5th 2011","['Nonfiction', 'Autobiography', 'Memoir', 'Humor', 'Biography', 'Audiobook']","https://www.goodreads.com/book/show/9418327-bossypants"
"The Light Between Oceans","9781451681734","M.L. Stedman","English","343","Scribner","July 31st 2012","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Australia', 'Historical', 'Book Club']","https://www.goodreads.com/book/show/13158800-the-light-between-oceans"
"Quiet: The Power of Introverts in a World That Can't Stop Talking","9780307352149","Susan Cain","English","337","Crown Publishing Group/Random House, Inc.","January 24th 2012","['Nonfiction', 'Self Help']","https://www.goodreads.com/book/show/8520610-quiet"
"The 5th Wave (The 5th Wave, #1)","9780399162411","Rick Yancey","English","457","G.P. Putnam's Sons Books for Young Readers","May 7th 2013","['Young Adult', 'Science Fiction', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/16101128-the-5th-wave"
"Spirit Bound (Vampire Academy, #5)","9781595142504","Richelle Mead","English","489","Penguin Razorbill","May 18th 2010","['Young Adult', 'Fantasy', 'Paranormal', 'Paranormal', 'Vampires', 'Fantasy', 'Romance']","https://www.goodreads.com/book/show/6479259-spirit-bound"
"Life After Life","9780316176484","Kate Atkinson","English","531","Reagan Arthur Books","April 2nd 2013","['Fiction', 'Historical', 'Historical Fiction', 'Science Fiction', 'Time Travel', 'Literary Fiction', 'War', 'World War II', 'Book Club', 'Historical', 'European Literature', 'British Literature', 'Novels', 'Contemporary']","https://www.goodreads.com/book/show/15790842-life-after-life"
"Fall of Giants (The Century Trilogy, #1)","9780525951650","Ken Follett","English","985","Berkley","September 28th 2010","['Historical', 'Historical Fiction', 'Fiction', 'Historical']","https://www.goodreads.com/book/show/7315573-fall-of-giants"
"Before I Fall","9780061726811","Lauren Oliver","English","470","HarperCollins","October 25th 2010","['Young Adult', 'Contemporary', 'Romance', 'Fiction', 'Fantasy', 'Realistic Fiction', 'Young Adult', 'Teen', 'Death', 'Fantasy', 'Paranormal', 'Womens Fiction', 'Chick Lit']","https://www.goodreads.com/book/show/6482837-before-i-fall"
"The Cuckoo's Calling (Cormoran Strike, #1)","9780316206846","Robert Galbraith","English","455","Mulholland Books / Little, Brown and Company","April 30th 2013","['Mystery', 'Fiction', 'Mystery', 'Crime', 'Thriller']","https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling"
"The Red Pyramid (Kane Chronicles, #1)","9781423113386","Rick Riordan","English","516","Disney-Hyperion","May 4th 2010","['Fantasy', 'Young Adult', 'Fantasy', 'Mythology', 'Adventure']","https://www.goodreads.com/book/show/7090447-the-red-pyramid"
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)","9781442408920","Benjamin Alire SÃ¡enz","English","359","Simon  Schuster Books for Young Readers","February 21st 2012","['Realistic Fiction', 'Young Adult', 'Coming Of Age', 'Lgbt', 'Young Adult', 'Audiobook']","https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe"
"Where'd You Go, Bernadette","9780316204279","Maria Semple","English","330","Little, Brown and Company","August 14th 2012","['Fiction', 'Humor', 'Contemporary', 'Mystery', 'Womens Fiction', 'Chick Lit']","https://www.goodreads.com/book/show/13526165-where-d-you-go-bernadette"
"The Raven Boys (The Raven Cycle, #1)","9780545424929","Maggie Stiefvater","English","409","Scholastic Press","September 18th 2012","['Fantasy', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/17675462-the-raven-boys"
"Words of Radiance (The Stormlight Archive, #2)","9780765326362","Brandon Sanderson","English","1087","Tor Books","March 4th 2014","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy', 'Fantasy', 'High Fantasy']","https://www.goodreads.com/book/show/17332218-words-of-radiance"
"Inferno (Robert Langdon, #4)","9780385537858","Dan Brown","English","461","Doubleday","May 14th 2013","['Fiction', 'Mystery', 'Thriller', 'Historical', 'Historical Fiction']","https://www.goodreads.com/book/show/17212231-inferno"
"Between Shades of Gray","9780399254123","Ruta Sepetys","English","344","Philomel Books","March 22nd 2011","['Young Adult', 'Historical', 'Historical Fiction', 'Historical', 'War', 'War', 'World War II']","https://www.goodreads.com/book/show/7824322-between-shades-of-gray"
"The Unbecoming of Mara Dyer (Mara Dyer, #1)","-1","Michelle Hodkin","English","456","Simon & Schuster Books for Young Readers","September 27th 2011","['Young Adult', 'Fantasy', 'Paranormal', 'Fantasy', 'Romance']","https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer"
"The Casual Vacancy","9780316228534","J.K. Rowling","English","503","Little, Brown and Company","September 27th 2012","['Fiction', 'Contemporary', 'Abandoned', 'Mystery']","https://www.goodreads.com/book/show/13497818-the-casual-vacancy"
"A Discovery of Witches (All Souls Trilogy, #1)","9780670022410","Deborah Harkness","English","579","Viking Penguin","February 2011","['Fantasy', 'Fiction', 'Fantasy', 'Paranormal', 'Romance', 'Paranormal', 'Vampires', 'Paranormal', 'Witches']","https://www.goodreads.com/book/show/8667848-a-discovery-of-witches"
"Station Eleven","9780385353304","Emily St. John Mandel","English","336","Knopf","September 9th 2014","['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Apocalyptic', 'Post Apocalyptic']","https://www.goodreads.com/book/show/20170404-station-eleven"
"A Visit from the Goon Squad","9780307592835","Jennifer Egan","English","288","Knopf","June 8th 2010","['Fiction', 'Contemporary', 'Music', 'Short Stories']","https://www.goodreads.com/book/show/7331435-a-visit-from-the-goon-squad"
"Six of Crows (Six of Crows, #1)","9781627792127","Leigh Bardugo","English","465","Henry Holt and Company","September 29th 2015","['Fantasy', 'Young Adult', 'Fiction']","https://www.goodreads.com/book/show/23437156-six-of-crows"
"Heir of Fire (Throne of Glass, #3)","9781619630659","Sarah J. Maas","English","565","Bloomsbury USA Childrens","September 2nd 2014","['Fantasy', 'Young Adult', 'Romance']","https://www.goodreads.com/book/show/20613470-heir-of-fire"
"The Throne of Fire (Kane Chronicles, #2)","9781423140566","Rick Riordan","English","452","Hyperion Books for Children","May 3rd 2011","['Fantasy', 'Fantasy', 'Mythology', 'Young Adult']","https://www.goodreads.com/book/show/9067850-the-throne-of-fire"
"Before I Go to Sleep","9780062060556","S.J. Watson","English","359","Harper","June 14th 2011","['Fiction', 'Mystery', 'Thriller', 'Suspense', 'Thriller', 'Mystery Thriller']","https://www.goodreads.com/book/show/9736930-before-i-go-to-sleep"
"The Sense of an Ending","9780224094153","Julian Barnes","English","150","Jonathan Cape","August 4th 2011","['Fiction', 'Literary Fiction', 'Contemporary', 'Literature', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/10746542-the-sense-of-an-ending"
"Crescendo (Hush, Hush, #2)","9781416989431","Becca Fitzpatrick","English","427","Simon & Schuster Books for Young Readers","October 19th 2010","['Young Adult', 'Paranormal', 'Angels', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/7791997-crescendo"
"Bloodlines (Bloodlines, #1)","9781595143174","Richelle Mead","English","421","Penguin Group","August 23rd 2011","['Young Adult', 'Paranormal', 'Vampires', 'Fantasy', 'Fantasy', 'Paranormal']","https://www.goodreads.com/book/show/8709527-bloodlines"
"The Iron King (The Iron Fey, #1)","9780373210084","Julie Kagawa","English","363","Harlequin Teen","January 19th 2010","['Young Adult', 'Romance', 'Fantasy', 'Paranormal', 'Fairies', 'Fae', 'Paranormal', 'Fairies', 'Fantasy', 'Urban Fantasy', 'Adventure']","https://www.goodreads.com/book/show/6644117-the-iron-king"
"I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban","9780316322409","Malala Yousafzai","English","327","Little, Brown and Company","October 8th 2013","['Nonfiction', 'Biography', 'Autobiography', 'Memoir', 'Feminism', 'Biography', 'Autobiography', 'History', 'Biography Memoir', 'Audiobook', 'Politics', 'Education']","https://www.goodreads.com/book/show/17851885-i-am-malala"
"A Man Called Ove","9781476738017","Fredrik Backman","English","337","Atria Books","July 15th 2014","['Fiction', 'Contemporary', 'Humor', 'Audiobook']","https://www.goodreads.com/book/show/18774964-a-man-called-ove"
"Bring Up the Bodies (Thomas Cromwell, #2)","9780805090031","Hilary Mantel","English","407","Henry Holt & Company, Inc.","May 8th 2012","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'European Literature', 'British Literature']","https://www.goodreads.com/book/show/13507212-bring-up-the-bodies"
"Silence (Hush, Hush, #3)","9781442426641","Becca Fitzpatrick","English","448","Simon & Schuster Books for Young Readers","October 4th 2011","['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Fantasy', 'Romance', 'Paranormal Romance']","https://www.goodreads.com/book/show/10637766-silence"
"Pandemonium (Delirium, #2)","9780061978067","Lauren Oliver","English","375","HarperTeen","February 28th 2012","['Science Fiction', 'Fantasy']","https://www.goodreads.com/book/show/9593911-pandemonium"
"Go the Fuck to Sleep","9781617750250","Adam Mansbach","English","32","Akashic Books","June 14th 2011","['Humor', 'Fiction', 'Childrens', 'Picture Books', 'Humor', 'Comedy', 'Childrens', 'Humor', 'Funny']","https://www.goodreads.com/book/show/11192642-go-the-fuck-to-sleep"
"The Passage (The Passage, #1)","9780345504968","Justin Cronin","English","766","Ballantine Books","June 8th 2010","['Horror', 'Science Fiction', 'Fiction', 'Audiobook', 'Fantasy']","https://www.goodreads.com/book/show/6690798-the-passage"
"Across the Universe (Across the Universe, #1)","9781595143976","Beth Revis","English","399","Razorbill","January 11th 2011","['Young Adult', 'Science Fiction', 'Science Fiction', 'Dystopia', 'Romance']","https://www.goodreads.com/book/show/8235178-across-the-universe"
"Queen of Shadows (Throne of Glass, #4)","9781619636040","Sarah J. Maas","English","648","Bloomsbury USA Childrens","September 1st 2015","['Fantasy', 'Young Adult', 'Romance']","https://www.goodreads.com/book/show/18006496-queen-of-shadows"
"Freedom","9780374158460","Jonathan Franzen","English","562","Farrar Straus Giroux","August 31st 2010","['Fiction', 'Contemporary', 'Novels']","https://www.goodreads.com/book/show/7905092-freedom"
"State of Wonder","9780062049803","Ann Patchett","English","353","HarperCollins Publishers","June 7th 2011","['Fiction', 'Book Club', 'Contemporary', 'Adult Fiction', 'Literary Fiction', 'Adult', 'Novels', 'Mystery', 'Audiobook', 'Adventure']","https://www.goodreads.com/book/show/9118135-state-of-wonder"
"The Art of Fielding","9780316126694","Chad Harbach","English","512","Little, Brown and Company","September 7th 2011","['Fiction', 'Sports and Games', 'Sports', 'Sports', 'Baseball', 'Contemporary', 'Literary Fiction', 'Adult Fiction', 'Audiobook', 'Young Adult', 'Coming Of Age', 'Novels', 'Adult']","https://www.goodreads.com/book/show/10996342-the-art-of-fielding"
"Winter of the World (The Century Trilogy #2)","9780525952923","Ken Follett","English","960","Berkley","September 18th 2012","['Historical', 'Historical Fiction', 'Fiction']","https://www.goodreads.com/book/show/12959233-winter-of-the-world"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","9780307408846","Erik Larson","English","448","Crown","May 10th 2011","['History', 'Nonfiction', 'War', 'World War II', 'Historical']","https://www.goodreads.com/book/show/9938498-in-the-garden-of-beasts"
"Torment (Fallen, #2)","9780385739146","Lauren Kate","English","452","Delacorte Press","September 28th 2010","['Young Adult', 'Fantasy', 'Paranormal', 'Angels', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/7740152-torment"
"Major Pettigrew's Last Stand","9781400068937","Helen Simonson","English","359","Random House","March 2nd 2010","['Fiction', 'Romance', 'Contemporary', 'European Literature', 'British Literature', 'Book Club', 'Adult Fiction', 'Historical', 'Historical Fiction', 'Adult', 'Audiobook', 'Literary Fiction']","https://www.goodreads.com/book/show/6643090-major-pettigrew-s-last-stand"
"Unearthly (Unearthly, #1)","9780061996160","Cynthia Hand","English","435","HarperTeen","January 4th 2011","['Young Adult', 'Paranormal', 'Angels', 'Fantasy', 'Fantasy', 'Paranormal', 'Romance']","https://www.goodreads.com/book/show/7488244-unearthly"
"Americanah","9780307271082","Chimamanda Ngozi Adichie","English","477","Knopf","May 14th 2013","['Fiction', 'Cultural', 'Africa', 'Contemporary', 'Literary Fiction', 'Feminism']","https://www.goodreads.com/book/show/15796700-americanah"
"Defending Jacob","9780385344227","William Landay","English","421","Delacorte Press","January 31st 2012","['Fiction', 'Mystery', 'Thriller', 'Mystery', 'Crime', 'Suspense']","https://www.goodreads.com/book/show/11367726-defending-jacob"
"The Thousand Autumns of Jacob de Zoet","9781400065455","David Mitchell","English","479","Random House","June 29th 2010","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Japan', 'Historical']","https://www.goodreads.com/book/show/7141642-the-thousand-autumns-of-jacob-de-zoet"
"Shadow and Bone (Grisha Verse, #1)","9780805094596","Leigh Bardugo","English","358","Henry Holt and Company","June 5th 2012","['Fantasy', 'Young Adult', 'Young Adult', 'Young Adult Fantasy', 'Romance']","https://www.goodreads.com/book/show/10194157-shadow-and-bone"
"Hex Hall (Hex Hall, #1)","9781423121305","Rachel Hawkins","English","323","Hyperion Book CH","March 2nd 2010","['Young Adult', 'Fantasy', 'Fantasy', 'Paranormal', 'Fantasy', 'Magic', 'Paranormal', 'Vampires']","https://www.goodreads.com/book/show/5287473-hex-hall"
"Wild: From Lost to Found on the Pacific Crest Trail","9780307592736","Cheryl Strayed","English","315","Knopf","March 20th 2012","['Nonfiction', 'Autobiography', 'Memoir', 'Travel', 'Biography']","https://www.goodreads.com/book/show/12262741-wild"
"Red Queen (Red Queen, #1)","9780062310637","Victoria Aveyard","English","383","HarperTeen","February 10th 2015","['Fantasy', 'Young Adult', 'Science Fiction', 'Dystopia', 'Fiction']","https://www.goodreads.com/book/show/22328546-red-queen"
"The Night Circus","9780307744432","Erin Morgenstern","English","512","Anchor","July 3rd 2012","['Historical', 'Historical Fiction', 'Adult', 'Adult Fiction']","https://www.goodreads.com/book/show/13330943-the-night-circus"
"The Unlikely Pilgrimage of Harold Fry (Harold Fry, #1)","9780812993295","Rachel Joyce","English","320","Random House","July 24th 2012","['Contemporary']","https://www.goodreads.com/book/show/13227454-the-unlikely-pilgrimage-of-harold-fry"
"The Elite (The Selection, #2)","9780062059963","Kiera Cass","English","336","HarperTeen","April 23rd 2013","['Young Adult', 'Romance', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/16248068-the-elite"
"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","9780751565355","John Tiffany","English","343","Little, Brown","July 31st 2016","['Fantasy', 'Fiction', 'Young Adult', 'Plays']","https://www.goodreads.com/book/show/29056083-harry-potter-and-the-cursed-child---parts-one-and-two"
"The One (The Selection, #3)","9780007466719","Kiera Cass","English","323","HarperCollins Children's Books","June 5th 2014","['Young Adult', 'Romance', 'Science Fiction', 'Dystopia', 'Fantasy']","https://www.goodreads.com/book/show/20572939-the-one"
"The Orphan Master's Son","9780812992793","Adam Johnson","English","443","Random House","January 10th 2012","['Fiction', 'Historical', 'Historical Fiction', 'Cultural', 'Asia']","https://www.goodreads.com/book/show/11529868-the-orphan-master-s-son"
"Red Rising (Red Rising, #1)","9780345539786","Pierce Brown","English","382","Del Rey (Random House)","January 28th 2014","['Science Fiction', 'Young Adult', 'Fantasy', 'Science Fiction', 'Dystopia', 'Fiction']","https://www.goodreads.com/book/show/15839976-red-rising"
"Fifty Shades of Grey (Fifty Shades, #1)","9781612130293","E.L. James","English","356","Vintage","May 25th 2011","['Romance', 'Fiction', 'Adult Fiction', 'Erotica', 'Erotica', 'Bdsm', 'Adult', 'Contemporary', 'Womens Fiction', 'Chick Lit', 'Romance', 'Contemporary Romance', 'Romance', 'Erotic Romance', 'Adult Fiction']","https://www.goodreads.com/book/show/10818853-fifty-shades-of-grey"
"Champion (Legend, #3)","9780399256776","Marie Lu","English","369","Putnam Juvenile","November 5th 2013","['Science Fiction', 'Dystopia', 'Young Adult', 'Romance']","https://www.goodreads.com/book/show/14290364-champion"
"Lady Midnight (The Dark Artifices, #1)","9781442468351","Cassandra Clare","English","698","Margaret K. McElderry Books","March 8th 2016","['Romance', 'Fantasy', 'Young Adult', 'Paranormal', 'Angels']","https://www.goodreads.com/book/show/25494343-lady-midnight"
"Prodigy (Legend, #2)","9780399256769","Marie Lu","English","371","Putnam Juvenile","January 29th 2013","['Young Adult', 'Science Fiction', 'Dystopia', 'Romance']","https://www.goodreads.com/book/show/13414446-prodigy"
"A Little Life","9780385539258","Hanya Yanagihara","English","720","Doubleday","March 10th 2015","['Fiction', 'Contemporary', 'Literary Fiction']","https://www.goodreads.com/book/show/22822858-a-little-life"
