ID,SIM1,SIM2,SIM3,SIM4,SIM5,SIM6,SIM7,SIM8,SIM9,SIM10
100136,300418,203512,100012,200020,102219,200357,203808,202536,100833,100373
100137,102570,301887,400010,100056,400381,203771,305967,100415,201300,201322
100138,102502,203847,105575,203745,200392,202374,303999,301048,205698,204896
100139,100736,102108,100778,305028,100205,402388,202355,204540,401470,304378
100140,100085,304395,205629,202153,204254,204643,103150,204576,203365,205487
100141,400023,204643,100200,101500,203365,100045,203808,203239,106328,200918
100142,305729,100077,100380,200107,200696,203400,202839,100023,104872,201470
100143,200216,301308,302798,100758,402593,304543,202438,300314,201685,101426
100144,301496,100335,402066,103718,104669,300187,105054,103842,203208,200383
100145,205207,100398,201857,205439,200301,200309,203512,200034,402266,201044
100146,101486,100669,102031,200011,201205,200436,100949,400045,303941,100572
100147,200920,200471,100230,302866,100768,101936,300248,200372,200046,204763
100148,201207,201910,202537,302971,200386,304370,204287,101308,202430,201108
100149,300008,301175,100354,401569,200174,305990,302832,303010,200201,200016
100150,205144,200477,300450,104515,200383,200932,203302,303487,202536,303999
100151,100350,100226,100318,100396,101273,201222,100356,100359,100578,200054
100152,200739,106081,205452,200228,202744,200171,304592,205591,202343,201315
100153,100004,100047,302369,300008,104515,201532,201553,100834,106202,400073
100154,100198,100206,200164,100238,101100,102637,300061,300457,201260,200005
100155,200349,205398,201961,200175,200155,205371,205128,200708,205108,200191
100156,200082,200336,200088,204651,200372,203112,202279,202745,202276,200032
100157,200535,200164,204287,200524,203820,304261,105327,100572,200191,200216
100158,100950,302637,102108,304486,203555,400742,202565,202400,401453,101174
100159,100068,100966,302369,301812,300698,202523,305765,204503,400838,500246
100160,200431,201217,100023,106165,102967,400061,100380,104863,203512,204254
100161,205319,105286,300089,105754,101426,500285,500248,101148,100135,100077
100162,305729,202770,202159,100572,400557,100012,100327,100099,301946,200357
100163,303999,200530,100306,102967,100528,201445,300044,204170,201988,304932
100164,101174,205481,100906,203524,401438,402909,202999,304543,305816,203473
100165,104069,300901,101791,105220,100200,101835,200622,302632,106062,200891
100166,200374,203847,205717,301308,304932,105808,201202,103032,100263,205218
100167,500149,102456,402592,101992,100107,203053,302954,305047,402740,401871
100168,100607,205156,200733,200772,203555,203145,101688,202295,200983,200201
100169,400191,401250,203745,102168,305451,203680,100060,401663,300362,101401
100170,200631,201315,100637,101753,200419,200273,100478,201802,202430,203010
100171,300667,104863,500043,100607,101740,304373,101586,100592,403000,200513
100172,100048,100180,200126,203304,305729,105493,200167,202679,200155,201421
100173,200891,100189,300117,100253,300021,204347,304486,300103,205218,102935
100174,102221,100410,100504,100650,106307,200968,205116,103378,304334,105926
100175,103273,100378,100102,201918,102718,200778,302636,304434,100758,400444
100176,100773,102478,205475,100833,200431,100329,100009,100023,100598,200023
100177,200676,200624,200049,200392,204672,204813,205457,101616,205351,100208
100178,200005,100031,106354,305765,203479,200457,100327,102967,402409,304380
100179,106165,101174,102478,100773,200725,201414,200408,100011,203304,100009
100180,100048,100773,100172,203304,200155,200020,101193,305729,200023,201421
100181,203726,204059,100889,302605,200678,204019,500275,101611,106023,305714
100182,104331,100297,201543,102639,100382,200330,201534,200068,202583,203847
100183,103791,100415,203965,300902,305739,201910,101167,203926,400860,300010
100184,100435,101849,300605,300456,101117,100265,100439,200082,302971,105963
100185,100316,300019,100293,100113,100280,100216,100256,100273,100247,105097
100186,100024,200458,203551,301084,205717,300008,200780,100729,103074,104448
100187,101725,100567,303815,400451,300040,201716,201127,203161,402769,106105
100188,105538,100262,100328,100374,100524,100661,203846,202617,104538,201317
100189,100253,100173,200891,300117,300103,300097,203064,304543,305227,200002
100190,104863,200411,301543,205262,202744,200587,200009,201074,203262,100023
100191,301800,301496,304378,500228,202355,100849,400152,102108,304897,300902
100192,204619,200577,200431,200586,101572,105630,200455,200411,200647,106180
100193,102029,202332,203204,200582,200839,100307,200647,104863,203512,305862
100194,100473,100345,100496,100580,200608,200403,105808,200822,100793,100366
100195,202849,200155,104872,200005,203400,200357,100079,203304,100012,100875
100196,200631,301496,200347,204813,304543,106328,201946,300428,301271,304899
100197,100280,300019,300101,106257,100316,100256,100113,106275,100273,100293
100198,100238,100154,200265,204907,102637,200164,204651,203555,106096,100206
100199,100568,101329,100430,203789,100230,101859,200243,202402,304917,100306
100200,302389,100079,200408,304415,100016,100050,200431,200155,402407,105493
100201,102967,400492,202536,301306,200273,103359,104582,103814,102858,301283
100202,201269,205188,203272,100533,101193,402769,205207,203229,205076,200530
100203,103821,400860,304917,202523,300008,103042,102213,102795,101453,101673
100204,102071,102246,400103,305934,402673,204761,300704,102621,305967,300038
100205,400776,402361,204147,100139,305911,205399,100179,102705,300702,203430
100206,101100,100154,100238,200164,100198,102637,200265,100118,200118,100215
100207,105322,102266,203972,100404,203993,100768,200111,102092,101054,304395
100208,306444,201571,201768,304542,305188,101872,201479,205412,303640,103801
100209,101615,202886,103605,401701,304331,403030,306374,306286,500150,102359
100210,100994,100709,200522,200889,203010,200643,200324,305752,200891,200586
100211,101287,101056,200356,106328,201300,303897,104444,106356,200408,205562
100212,402101,200672,200118,200560,100200,303897,204813,302623,202739,200357
100213,100370,202896,100053,201936,204708,105631,300551,203695,204865,200584
100214,203926,203440,203304,200155,203400,200105,102967,201300,202536,201125
100215,100206,200164,102637,204286,100154,100238,100198,104319,200265,200494
100216,100247,100273,105097,100197,100113,100316,106235,300101,100280,100857
100217,204685,101319,303743,100821,100914,201389,203768,300591,200164,202054
100218,102992,102858,104515,304745,104383,500001,104360,302039,104642,302389
100219,200647,200256,205717,302613,105193,201538,100959,306025,300034,101805
100220,102167,204567,205076,102968,202810,300901,100094,301584,104806,103932
100221,106546,300006,300024,100074,200301,201421,100012,100329,200431,200005
