,Book Title,ISBN,Book Image,Amazon,Google Play,Barnes and Noble,Indie Bound
238,"The Reckoning (Darkest Powers, #3)",9781841497129,https://dj6cnfthgyqas.cloudfront.net/1841497126-original.jpg,$1.33,$9.99,NaN,NaN
239,"Free Four: Tobias Tells the Divergent Knife-Throwing Scene (Divergent, #1.5)",9780062237422,https://dj6cnfthgyqas.cloudfront.net/B008B11K04-original.jpg,NaN,NaN,NaN,NaN
240,"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",9781451666175,https://dj6cnfthgyqas.cloudfront.net/1451666179-original.jpg,$12.44,$12.99,$13.08,$19.99
241,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",9781408852590,NaN,NaN,NaN,NaN,NaN
242,The Paris Wife,9780345521309,https://dj6cnfthgyqas.cloudfront.net/0345521307-original.jpg,$16.78,NaN,$19.66,$27.00
243,"Saga, Vol. 1 (Saga, #1)",9781607066019,https://dj6cnfthgyqas.cloudfront.net/1607066017-original.jpg,$8.92,NaN,$9.99,$9.99
244,The Husband's Secret,9780399159343,https://dj6cnfthgyqas.cloudfront.net/0399159347-original.jpg,$7.65,$9.99,$17.84,$27.00
245,Is Everyone Hanging Out Without Me?,9780307886262,https://dj6cnfthgyqas.cloudfront.net/0307886263-original.jpg,$7.25,NaN,$23.56,$25.00
246,Between the World and Me,9780812993547,https://dj6cnfthgyqas.cloudfront.net/0812993543-original.jpg,NaN,NaN,$16.12,$25.00
247,The Hundred-Year-Old Man Who Climbed Out of the Window and Disappeared,9781843913726,https://dj6cnfthgyqas.cloudfront.net/1843913720-original.jpg,$22.50,$2.99,NaN,NaN
248,"Doctor Sleep (The Shining, #2)",9781476727653,https://dj6cnfthgyqas.cloudfront.net/1476727651-original.jpg,$17.01,$14.99,$28.24,$30.00
249,"Thinking, Fast and Slow",9780374275631,https://dj6cnfthgyqas.cloudfront.net/0374275637-original.jpg,$21.75,NaN,$20.21,$30.00
250,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",9781619634466,https://dj6cnfthgyqas.cloudfront.net/1619634465-original.jpg,NaN,NaN,$11.96,$18.99
251,"Fifty Shades Darker (Fifty Shades, #2)",9781612130583,https://dj6cnfthgyqas.cloudfront.net/B007IXWKUK-original.jpg,NaN,$8.99,NaN,NaN
