Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL
Snow Falling on Cedars,9780679764021,https://dj6cnfthgyqas.cloudfront.net/067976402X-original.jpg,$10.29,https://play.google.com/store/books/details/David_Guterson_Snow_Falling_on_Cedars?id=fUcYLRN8smcC,$10.43,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679764021,$16.00,http://www.indiebound.org/book/9780679764021?aff=rifflebooks
Midnight in the Garden of Good and Evil,9780679751526,https://dj6cnfthgyqas.cloudfront.net/0679751521-original.jpg,$13.99,https://play.google.com/store/books/details/John_Berendt_Midnight_in_the_Garden_of_Good_and_Ev?id=YjxITJFUDhoC,$12.83,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679751526,$16.95,http://www.indiebound.org/book/9780679751526?aff=rifflebooks
Blindness,9780156007757,https://dj6cnfthgyqas.cloudfront.net/0156007754-original.jpg,$11.96,https://play.google.com/store/books/details/Jos%C3%A9_Saramago_Blindness?id=WT1nA87biBoC,$10.57,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780156007757,$15.99,http://www.indiebound.org/book/9780156007757?aff=rifflebooks
Into the Wild,9780385486804,https://dj6cnfthgyqas.cloudfront.net/0385486804-original.jpg,$13.99,https://play.google.com/store/books/details/Jon_Krakauer_Into_the_Wild?id=waBwNtI6rSwC,$10.27,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385486804,$15.00,http://www.indiebound.org/book/9780385486804?aff=rifflebooks
The Wind-Up Bird Chronicle,9780965341981,https://dj6cnfthgyqas.cloudfront.net/0965341984-original.jpg,$14.99,https://play.google.com/store/books/details/Haruki_Murakami_The_Wind_Up_Bird_Chronicle?id=A_mQPAqfte8C,,,,
Infinite Jest,9780316921176,https://dj6cnfthgyqas.cloudfront.net/0316921173-original.jpg,$16.99,https://play.google.com/store/books/details/David_Foster_Wallace_Infinite_Jest?id=Nhe2yvx6hP8C,$13.53,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316921176,,
The Red Tent,9780312353766,https://dj6cnfthgyqas.cloudfront.net/0312353766-original.jpg,$10.99,https://play.google.com/store/books/details/Anita_Diamant_The_Red_Tent_20th_Anniversary_Editio?id=5hcdO0pDtY8C,$16.46,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780312353766,$16.95,http://www.indiebound.org/book/9780312353766?aff=rifflebooks
White Oleander,9780316182546,https://dj6cnfthgyqas.cloudfront.net/0316182540-original.jpg,$12.99,https://play.google.com/store/books/details/Janet_Fitch_White_Oleander?id=MulNRdtMx9YC,$7.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316182546,$7.99,http://www.indiebound.org/book/9780316182546?aff=rifflebooks
High Fidelity,9781573225519,https://dj6cnfthgyqas.cloudfront.net/1573225517-original.jpg,$13.99,https://play.google.com/store/books/details/Nick_Hornby_High_Fidelity?id=k3ZtZcOnWrsC,$13.60,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781573225519,$16.00,http://www.indiebound.org/book/9781573225519?aff=rifflebooks
"The Notebook (The Notebook, #1)",9780553816716,https://dj6cnfthgyqas.cloudfront.net/0553816713-original.jpg,$3.99,https://play.google.com/store/movies/details/The_Notebook?id=UxO2sMPdbc4,,,,
"Guns, Germs, and Steel: The Fates of Human Societies",9780739467350,,,,,,,
Tuesdays with Morrie,9780751529814,https://dj6cnfthgyqas.cloudfront.net/0751529818-original.jpg,$13.99,https://play.google.com/store/books/details/Mitch_Albom_Tuesdays_with_Morrie?id=z2z_6hLoPmgC,,,,
"Oh, The Places You'll Go!",9780679805274,https://dj6cnfthgyqas.cloudfront.net/0679805273-original.jpg,$10.99,https://play.google.com/store/books/details/Dr_Seuss_Oh_the_Places_You_ll_Go?id=1q_xAwAAQBAJ,$16.20,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679805274,$18.99,http://www.indiebound.org/book/9780679805274?aff=rifflebooks
Stardust,9780061142024,https://dj6cnfthgyqas.cloudfront.net/0061142026-original.jpg,$11.99,https://play.google.com/store/books/details/Neil_Gaiman_Stardust?id=kiTMrbIkSWkC,$12.08,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780061142024,$15.99,http://www.indiebound.org/book/9780061142024?aff=rifflebooks
Cold Mountain,9780802142849,https://dj6cnfthgyqas.cloudfront.net/0802142842-original.jpg,$9.99,https://play.google.com/store/books/details/Charles_Frazier_Cold_Mountain?id=L9ve3Zz__1cC,$9.76,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780802142849,$16.00,http://www.indiebound.org/book/9780802142849?aff=rifflebooks
The English Patient,9780771068713,https://dj6cnfthgyqas.cloudfront.net/0771068719-original.jpg,$12.99,https://play.google.com/store/books/details/Michael_Ondaatje_The_English_Patient?id=Nrf6lcclENUC,$0.00,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780771068713,,
The Reader,9780375408267,https://dj6cnfthgyqas.cloudfront.net/0375408266-original.jpg,$10.99,https://play.google.com/store/books/details/Bernhard_Schlink_The_Reader?id=2JYJicwT84cC,$20.24,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780375408267,,
The Firm,9780582418271,https://dj6cnfthgyqas.cloudfront.net/0582418275-original.jpg,$13.99,https://play.google.com/store/books/details/Duff_McDonald_The_Firm?id=RrSTRTcdS4kC,$9.27,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780582418271,,
Into Thin Air: A Personal Account of the Mount Everest Disaster,9780385494786,https://dj6cnfthgyqas.cloudfront.net/0385494785-original.jpg,$13.99,https://play.google.com/store/books/details/Jon_Krakauer_Into_Thin_Air?id=gt7EQgH8-b4C,$11.41,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385494786,$16.00,http://www.indiebound.org/book/9780385494786?aff=rifflebooks
She's Come Undone,9780671021009,https://dj6cnfthgyqas.cloudfront.net/0671021001-original.jpg,$8.99,https://play.google.com/store/books/details/Wally_Lamb_She_s_Come_Undone?id=o447RLwrcgIC,$7.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780671021009,$7.99,http://www.indiebound.org/book/9780671021009?aff=rifflebooks
A Walk in the Woods,9780307279460,https://dj6cnfthgyqas.cloudfront.net/0307279464-original.jpg,$9.99,https://play.google.com/store/books/details/Bill_Bryson_A_Walk_in_the_Woods?id=WnyDgV_vNhsC,$7.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307279460,$7.99,http://www.indiebound.org/book/9780307279460?aff=rifflebooks
The No. 1 Ladies' Detective Agency,9781400034772,https://dj6cnfthgyqas.cloudfront.net/1400034779-original.jpg,$5.99,https://play.google.com/store/books/details/Alexander_McCall_Smith_The_No_1_Ladies_Detective_A?id=CJM2JMBMULkC,$10.10,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781400034772,$15.95,http://www.indiebound.org/book/9781400034772?aff=rifflebooks
Possession,9780679735908,https://dj6cnfthgyqas.cloudfront.net/0679735909-original.jpg,$3.99,https://play.google.com/store/books/details/C_J_Archer_Possession?id=jaYMAgAAQBAJ,$10.93,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679735908,$16.95,http://www.indiebound.org/book/9780679735908?aff=rifflebooks
"Preludes & Nocturnes (The Sandman, #1)",9781563892271,https://dj6cnfthgyqas.cloudfront.net/1563892278-original.jpg,,,$20.65,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781563892271,$29.95,http://www.indiebound.org/book/9781563892271?aff=rifflebooks
The Hours,9780312305062,https://dj6cnfthgyqas.cloudfront.net/0312305060-original.jpg,$11.99,https://play.google.com/store/books/details/Chuck_Missler_Learn_the_Bible_in_24_Hours?id=I5r9KlET6jwC,$8.85,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780312305062,$13.00,http://www.indiebound.org/book/9780312305062?aff=rifflebooks
A Fine Balance,9781400030651,https://dj6cnfthgyqas.cloudfront.net/140003065X-original.jpg,$13.99,https://play.google.com/store/books/details/Rohinton_Mistry_A_Fine_Balance?id=2kuoQJmZ_jkC,$13.22,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781400030651,$17.00,http://www.indiebound.org/book/9781400030651?aff=rifflebooks
The Shipping News,9780743225427,https://dj6cnfthgyqas.cloudfront.net/0743225422-original.jpg,$11.99,https://play.google.com/store/books/details/Annie_Proulx_The_Shipping_News?id=jHp8VHqgCmQC,$10.25,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780743225427,$14.00,http://www.indiebound.org/book/9780743225427?aff=rifflebooks
I Know This Much Is True,9780060987565,https://dj6cnfthgyqas.cloudfront.net/0060987561-original.jpg,$11.99,https://play.google.com/store/books/details/Wally_Lamb_I_Know_This_Much_Is_True?id=ZgXtYlsgZQkC,$21.75,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060987565,$16.95,http://www.indiebound.org/book/9780060987565?aff=rifflebooks
"All the Pretty Horses (The Border Trilogy, #1)",9780679744399,https://dj6cnfthgyqas.cloudfront.net/0679744398-original.jpg,$19.95,https://play.google.com/store/audiobooks/details/Cormac_McCarthy_All_the_Pretty_Horses?id=AQAAAIDICB2IxM,$10.13,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679744399,$16.00,http://www.indiebound.org/book/9780679744399?aff=rifflebooks
Interpreter of Maladies,9780618101368,https://dj6cnfthgyqas.cloudfront.net/0618101365-original.jpg,$10.29,https://play.google.com/store/books/details/Jhumpa_Lahiri_Interpreter_of_Maladies?id=77zjnZnigdsC,$22.20,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780618101368,$24.00,http://www.indiebound.org/book/9780618101368?aff=rifflebooks
Trainspotting,9780099465898,https://dj6cnfthgyqas.cloudfront.net/0099465892-original.jpg,$10.99,https://play.google.com/store/books/details/Irvine_Welsh_Trainspotting?id=y7dgd3T4bfAC,$0.00,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780099465898,,
"Sabriel (Abhorsen,  #1)",9780064471831,https://dj6cnfthgyqas.cloudfront.net/0064471837-original.jpg,$14.95,https://play.google.com/store/audiobooks/details/Garth_Nix_Sabriel?id=AQAAAAA5jD2MFM,$7.98,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780064471831,$8.99,http://www.indiebound.org/book/9780064471831?aff=rifflebooks
Alias Grace,9783442723430,https://dj6cnfthgyqas.cloudfront.net/3442723434-original.jpg,$13.99,https://play.google.com/store/books/details/Margaret_Atwood_Alias_Grace?id=Ero6KfhNo7gC,,,,
Corelli's Mandolin,9780679763970,https://dj6cnfthgyqas.cloudfront.net/067976397X-original.jpg,$9.99,https://play.google.com/store/books/details/Louis_de_Berni%C3%A8res_Captain_Corelli_s_Mandolin?id=7tB8YAmy9XUC,$11.73,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679763970,$16.95,http://www.indiebound.org/book/9780679763970?aff=rifflebooks
American Psycho,9780679735779,https://dj6cnfthgyqas.cloudfront.net/0679735771-original.jpg,$13.99,https://play.google.com/store/books/details/Bret_Easton_Ellis_American_Psycho?id=Gd_mGRCwW1QC,$10.18,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780679735779,$16.00,http://www.indiebound.org/book/9780679735779?aff=rifflebooks
Smilla's Sense of Snow,9780385315142,https://dj6cnfthgyqas.cloudfront.net/0385315147-original.jpg,$4.00,https://play.google.com/store/books/details/Gale_Cengage_Learning_A_Study_Guide_for_Peter_Hoeg?id=uVyVDAAAQBAJ,$12.79,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385315142,$16.00,http://www.indiebound.org/book/9780385315142?aff=rifflebooks
A Walk to Remember,9780446693806,https://dj6cnfthgyqas.cloudfront.net/0446693804-original.jpg,$9.99,https://play.google.com/store/books/details/Nicholas_Sparks_A_Walk_to_Remember?id=TOoyW7vSrHgC,$10.32,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780446693806,$16.00,http://www.indiebound.org/book/9780446693806?aff=rifflebooks
Disgrace,9780143036371,https://dj6cnfthgyqas.cloudfront.net/0143036378-original.jpg,$9.99,https://play.google.com/store/books/details/J_M_Coetzee_Disgrace?id=2tmNCQAAQBAJ,$14.98,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780143036371,$15.95,http://www.indiebound.org/book/9780143036371?aff=rifflebooks
A Thousand Acres,9781400033836,https://dj6cnfthgyqas.cloudfront.net/1400033837-original.jpg,$13.99,https://play.google.com/store/books/details/Jane_Smiley_A_Thousand_Acres?id=d6pKWjiAdlkC,$12.39,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781400033836,$16.00,http://www.indiebound.org/book/9781400033836?aff=rifflebooks
"The Eye of the World (Wheel of Time, #1)",9780812511819,https://dj6cnfthgyqas.cloudfront.net/0812511816-original.jpg,$48.58,https://play.google.com/store/audiobooks/details/Robert_Jordan_The_Eye_of_the_World?id=AQAAAABvMmYyGM,$8.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780812511819,$8.99,http://www.indiebound.org/book/9780812511819?aff=rifflebooks
The Kitchen God's Wife,9780143038108,https://dj6cnfthgyqas.cloudfront.net/0143038109-original.jpg,$13.99,https://play.google.com/store/books/details/Amy_Tan_The_Kitchen_God_s_Wife?id=CJsd1OU_Pf0C,$13.87,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780143038108,$17.00,http://www.indiebound.org/book/9780143038108?aff=rifflebooks
Snow Crash,9780553380958,https://dj6cnfthgyqas.cloudfront.net/0553380958-original.jpg,$10.99,https://play.google.com/store/books/details/Neal_Stephenson_Snow_Crash?id=RMd3GpIFxcUC,$11.15,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780553380958,$17.00,http://www.indiebound.org/book/9780553380958?aff=rifflebooks
"American Pastoral (The American Trilogy, #1)",9780099771814,https://dj6cnfthgyqas.cloudfront.net/0099771810-original.jpg,$25.95,https://play.google.com/store/audiobooks/details/Conrad_Aiken_Turns_and_Movies?id=AQAAAEBolArUcM,$12.55,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780099771814,,
Wild Swans: Three Daughters of China,9780743246989,,,,,,,
"Chocolat (Chocolat, #1)",9780141000183,https://dj6cnfthgyqas.cloudfront.net/B000OCXI3K-original.jpg,,,$13.12,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780141000183,$14.00,http://www.indiebound.org/book/9780141000183?aff=rifflebooks
About a Boy,9780140285673,https://dj6cnfthgyqas.cloudfront.net/0140285679-original.jpg,$11.99,https://play.google.com/store/books/details/Stuart_Howarth_Please_Daddy_No_A_Boy_Betrayed?id=vbSSmAwwrnMC,,,,
Naked,9780316777735,https://dj6cnfthgyqas.cloudfront.net/0316777730-original.jpg,$12.99,https://play.google.com/store/books/details/David_Sedaris_Naked?id=cLJZ_kaBhRwC,$10.13,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780316777735,$16.00,http://www.indiebound.org/book/9780316777735?aff=rifflebooks
Where the Heart Is,9780446672214,https://dj6cnfthgyqas.cloudfront.net/0733620183-original.jpg,Free,https://play.google.com/store/books/details/Darcy_Burke_Where_the_Heart_Is?id=B__uBgAAQBAJ,$9.74,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780446672214,$15.00,http://www.indiebound.org/book/9780446672214?aff=rifflebooks
The Pelican Brief,9780385339704,https://dj6cnfthgyqas.cloudfront.net/B003B02O0U-original.jpg,$10.99,https://play.google.com/store/books/details/John_Grisham_The_Pelican_Brief?id=9ttNNTBRahMC,$14.56,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385339704,$16.00,http://www.indiebound.org/book/9780385339704?aff=rifflebooks
"The Amber Spyglass (His Dark Materials, #3)",9780440238157,https://dj6cnfthgyqas.cloudfront.net/0440238153-original.jpg,$32.31,https://play.google.com/store/audiobooks/details/Philip_Pullman_The_Amber_Spyglass_His_Dark_Materia?id=AQAAAACyoGigyM,$7.22,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780440238157,$8.99,http://www.indiebound.org/book/9780440238157?aff=rifflebooks
Cryptonomicon,9780060512804,https://dj6cnfthgyqas.cloudfront.net/0060512806-original.jpg,$9.99,https://play.google.com/store/books/details/Neal_Stephenson_Cryptonomicon?id=dwAwSzmTHNEC,$8.99,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060512804,$8.99,http://www.indiebound.org/book/9780060512804?aff=rifflebooks
"L.A. Confidential (L.A. Quartet, #3)",9780099366713,https://dj6cnfthgyqas.cloudfront.net/0099366711-original.jpg,,,$12.75,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780099366713,$11.25,http://www.indiebound.org/book/9780099366713?aff=rifflebooks
Brokeback Mountain,9780743271325,https://dj6cnfthgyqas.cloudfront.net/0743271327-original.jpg,$9.95,https://play.google.com/store/books/details/Annie_Proulx_Brokeback_Mountain?id=yFNgX-ccPA4C,$9.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780743271325,$9.95,http://www.indiebound.org/book/9780743271325?aff=rifflebooks
The True Confessions of Charlotte Doyle,9780380714759,https://dj6cnfthgyqas.cloudfront.net/0380714752-original.jpg,$5.99,https://play.google.com/store/books/details/Avi_The_True_Confessions_of_Charlotte_Doyle?id=3W0uCgAAQBAJ,$7.75,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780380714759,$6.99,http://www.indiebound.org/book/9780380714759?aff=rifflebooks
Notes from a Small Island,9780380727506,https://dj6cnfthgyqas.cloudfront.net/0380727501-original.jpg,$9.99,https://play.google.com/store/books/details/Oliver_Baum_M_A_Bill_Bryson_s_View_of_Great_Britai?id=hDNcuZAlGs4C,$11.58,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780380727506,$15.99,http://www.indiebound.org/book/9780380727506?aff=rifflebooks
Insomnia,9788497597722,https://dj6cnfthgyqas.cloudfront.net/8497597729-original.jpg,$10.99,https://play.google.com/store/books/details/Stephen_King_Insomnia?id=kLcACwAAQBAJ,$26.03,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9788497597722,$36.50,http://www.indiebound.org/book/9788497597722?aff=rifflebooks
