Book Title,Book ISBN,Book URL,Amazon Price,R1 Title,R1 URL,R2 Title,R2 URL,R3 Title,R3 URL,R4 Title,R4 URL,R5 Title,R5 URL
Alice's Adventures Under Ground,9780486214825,https://www.goodreads.com/buy_buttons/12/follow?book_id=1292105&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$19.99,After Alice: A Novel,https://www.amazon.com/After-Alice-Novel-Gregory-Maguire/dp/0060859741/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0060859741&pd_rd_r=63QXCPRZC46PVC62WG0E&pd_rd_w=a6Txu&pd_rd_wg=2RbiQ&psc=1&refRID=63QXCPRZC46PVC62WG0E,Alice in Wonderland (Third Edition) (Norton Critical Editions),https://www.amazon.com/Alice-Wonderland-Norton-Critical-Editions/dp/0393932346/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0393932346&pd_rd_r=63QXCPRZC46PVC62WG0E&pd_rd_w=a6Txu&pd_rd_wg=2RbiQ&psc=1&refRID=63QXCPRZC46PVC62WG0E,Writing Analytically,https://www.amazon.com/Writing-Analytically-David-Rosenwasser/dp/1285436504/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=1285436504&pd_rd_r=63QXCPRZC46PVC62WG0E&pd_rd_w=a6Txu&pd_rd_wg=2RbiQ&psc=1&refRID=63QXCPRZC46PVC62WG0E,"The Mystery of Lewis Carroll: Discovering the Whimsical, Thoughtful,…",https://www.amazon.com/Mystery-Lewis-Carroll-Discovering-Thoughtful/dp/031267371X/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=031267371X&pd_rd_r=63QXCPRZC46PVC62WG0E&pd_rd_w=a6Txu&pd_rd_wg=2RbiQ&psc=1&refRID=63QXCPRZC46PVC62WG0E,"The Mystery of Lewis Carroll: Discovering the Whimsical, Thoughtful,…",https://www.amazon.com/Mystery-Lewis-Carroll-Discovering-Thoughtful/dp/0312612982/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0312612982&pd_rd_r=63QXCPRZC46PVC62WG0E&pd_rd_w=a6Txu&pd_rd_wg=2RbiQ&psc=1&refRID=63QXCPRZC46PVC62WG0E
The Cossacks,9780812975048,https://www.goodreads.com/buy_buttons/12/follow?book_id=17698&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$13.00,A Hero of Our Time (Penguin Classics),https://www.amazon.com/Hero-Our-Time-Penguin-Classics/dp/0140447954/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0140447954&pd_rd_r=9Q9SCYMNYH5EZY47DBYW&pd_rd_w=ywBjl&pd_rd_wg=6BgUy&psc=1&refRID=9Q9SCYMNYH5EZY47DBYW,The Death of Ivan Ilyich and Other Stories (Penguin Classics),https://www.amazon.com/Death-Ilyich-Stories-Penguin-Classics/dp/0140449612/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0140449612&pd_rd_r=9Q9SCYMNYH5EZY47DBYW&pd_rd_w=ywBjl&pd_rd_wg=6BgUy&psc=1&refRID=9Q9SCYMNYH5EZY47DBYW,Childhood; Boyhood; Youth (Penguin Classics),https://www.amazon.com/Childhood-Boyhood-Youth-Penguin-Classics/dp/0140449922/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0140449922&pd_rd_r=9Q9SCYMNYH5EZY47DBYW&pd_rd_w=ywBjl&pd_rd_wg=6BgUy&psc=1&refRID=9Q9SCYMNYH5EZY47DBYW,The Captain's Daughter and Other Stories (Vintage Classics),https://www.amazon.com/Captains-Daughter-Stories-Vintage-Classics/dp/0394707141/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0394707141&pd_rd_r=9Q9SCYMNYH5EZY47DBYW&pd_rd_w=ywBjl&pd_rd_wg=6BgUy&psc=1&refRID=9Q9SCYMNYH5EZY47DBYW,Dead Souls,https://www.amazon.com/Dead-Souls-Nikolai-Gogol/dp/0679776443/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0679776443&pd_rd_r=9Q9SCYMNYH5EZY47DBYW&pd_rd_w=ywBjl&pd_rd_wg=6BgUy&psc=1&refRID=9Q9SCYMNYH5EZY47DBYW
SalammbÃ´,9780140443288,https://www.goodreads.com/buy_buttons/13/follow?book_id=221597&ref=x_gr_w_bb&tag=x_gr_w_bb_uk-21,$11.30,The Temptation of Saint Anthony (Modern Library Classics),https://www.amazon.com/Temptation-Anthony-Modern-Library-Classics/dp/0375759123/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0375759123&pd_rd_r=XF38DQ126SX0RFQMBV2P&pd_rd_w=hf4Rn&pd_rd_wg=4Ked2&psc=1&refRID=XF38DQ126SX0RFQMBV2P,Memoirs of Hadrian (FSG Classics),https://www.amazon.com/Memoirs-Hadrian-Classics-Marguerite-Yourcenar/dp/0374529264/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0374529264&pd_rd_r=XF38DQ126SX0RFQMBV2P&pd_rd_w=hf4Rn&pd_rd_wg=4Ked2&psc=1&refRID=XF38DQ126SX0RFQMBV2P,"I, Claudius From the Autobiography of Tiberius Claudius Born 10 B.C.…",https://www.amazon.com/Claudius-Autobiography-Tiberius-Murdered-International/dp/067972477X/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=067972477X&pd_rd_r=XF38DQ126SX0RFQMBV2P&pd_rd_w=hf4Rn&pd_rd_wg=4Ked2&psc=1&refRID=XF38DQ126SX0RFQMBV2P,The Ides of March: A Novel,https://www.amazon.com/Ides-March-Novel-Thornton-Wilder/dp/0060088907/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0060088907&pd_rd_r=XF38DQ126SX0RFQMBV2P&pd_rd_w=hf4Rn&pd_rd_wg=4Ked2&psc=1&refRID=XF38DQ126SX0RFQMBV2P,Helena,https://www.amazon.com/Helena-Evelyn-Waugh/dp/0316216518/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0316216518&pd_rd_r=XF38DQ126SX0RFQMBV2P&pd_rd_w=hf4Rn&pd_rd_wg=4Ked2&psc=1&refRID=XF38DQ126SX0RFQMBV2P
The Small House at Allington (Chronicles of Barsetshire #5),9780140433258,https://www.goodreads.com/buy_buttons/12/follow?book_id=144463&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$14.34,Framley Parsonage (Penguin English Library),https://www.amazon.com/Framley-Parsonage-Penguin-English-Library/dp/0140432132/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0140432132&pd_rd_r=05E1M7F2G936B0FW6HPH&pd_rd_w=dAq8B&pd_rd_wg=V0DEg&psc=1&refRID=05E1M7F2G936B0FW6HPH,The Last Chronicle of Barset (Penguin Classics),https://www.amazon.com/Last-Chronicle-Barset-Penguin-Classics/dp/0140437525/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0140437525&pd_rd_r=05E1M7F2G936B0FW6HPH&pd_rd_w=dAq8B&pd_rd_wg=V0DEg&psc=1&refRID=05E1M7F2G936B0FW6HPH,Doctor Thorne: The Chronicles of Barsetshire (Oxford World's Classics),https://www.amazon.com/Doctor-Thorne-Chronicles-Barsetshire-Classics/dp/0198785631/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0198785631&pd_rd_r=05E1M7F2G936B0FW6HPH&pd_rd_w=dAq8B&pd_rd_wg=V0DEg&psc=1&refRID=05E1M7F2G936B0FW6HPH,The Warden (Penguin Classics),https://www.amazon.com/Warden-Penguin-Classics-Anthony-Trollope/dp/0140432140/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0140432140&pd_rd_r=05E1M7F2G936B0FW6HPH&pd_rd_w=dAq8B&pd_rd_wg=V0DEg&psc=1&refRID=05E1M7F2G936B0FW6HPH,Barchester Towers (Oxford World's Classics),https://www.amazon.com/Barchester-Towers-Oxford-Worlds-Classics/dp/0199665869/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0199665869&pd_rd_r=05E1M7F2G936B0FW6HPH&pd_rd_w=dAq8B&pd_rd_wg=V0DEg&psc=1&refRID=05E1M7F2G936B0FW6HPH
Romola,9780140434705,https://www.goodreads.com/buy_buttons/12/follow?book_id=835508&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$14.09,"Felix Holt, the Radical (Penguin Classics)",https://www.amazon.com/Felix-Holt-Radical-Penguin-Classics/dp/0140434356/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0140434356&pd_rd_r=HNMRABSQCHV7HK9NG2C5&pd_rd_w=jOw2H&pd_rd_wg=Tzl8G&psc=1&refRID=HNMRABSQCHV7HK9NG2C5,Daniel Deronda,https://www.amazon.com/Daniel-Deronda-George-Eliot/dp/0140434275/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0140434275&pd_rd_r=HNMRABSQCHV7HK9NG2C5&pd_rd_w=jOw2H&pd_rd_wg=Tzl8G&psc=1&refRID=HNMRABSQCHV7HK9NG2C5,Middlemarch (Penguin Classics),https://www.amazon.com/Middlemarch-Penguin-Classics-George-Eliot/dp/0141439548/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0141439548&pd_rd_r=HNMRABSQCHV7HK9NG2C5&pd_rd_w=jOw2H&pd_rd_wg=Tzl8G&psc=1&refRID=HNMRABSQCHV7HK9NG2C5,Scenes of Clerical Life (Penguin Classics),https://www.amazon.com/Scenes-Clerical-Life-Penguin-Classics/dp/0140436383/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0140436383&pd_rd_r=HNMRABSQCHV7HK9NG2C5&pd_rd_w=jOw2H&pd_rd_wg=Tzl8G&psc=1&refRID=HNMRABSQCHV7HK9NG2C5,Silas Marner (Penguin Classics),https://www.amazon.com/Silas-Marner-Penguin-Classics-George/dp/0141439750/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0141439750&pd_rd_r=HNMRABSQCHV7HK9NG2C5&pd_rd_w=jOw2H&pd_rd_wg=Tzl8G&psc=1&refRID=HNMRABSQCHV7HK9NG2C5
Felix Holt: The Radical,9780140434354,https://www.goodreads.com/buy_buttons/13/follow?book_id=866301&ref=x_gr_w_bb&tag=x_gr_w_bb_uk-21,$14.53,Romola (Penguin Classics),https://www.amazon.com/Romola-Penguin-Classics-George-Eliot/dp/0140434704/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0140434704&pd_rd_r=8BJD40W7JP80GTT620N1&pd_rd_w=l3sRg&pd_rd_wg=uUUHm&psc=1&refRID=8BJD40W7JP80GTT620N1,Scenes of Clerical Life (Penguin Classics),https://www.amazon.com/Scenes-Clerical-Life-Penguin-Classics/dp/0140436383/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0140436383&pd_rd_r=8BJD40W7JP80GTT620N1&pd_rd_w=l3sRg&pd_rd_wg=uUUHm&psc=1&refRID=8BJD40W7JP80GTT620N1,Middlemarch (Penguin Classics),https://www.amazon.com/Middlemarch-Penguin-Classics-George-Eliot/dp/0141439548/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0141439548&pd_rd_r=8BJD40W7JP80GTT620N1&pd_rd_w=l3sRg&pd_rd_wg=uUUHm&psc=1&refRID=8BJD40W7JP80GTT620N1,North and South (Penguin Classics),https://www.amazon.com/North-Penguin-Classics-Elizabeth-Gaskell/dp/0140434240/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0140434240&pd_rd_r=8BJD40W7JP80GTT620N1&pd_rd_w=l3sRg&pd_rd_wg=uUUHm&psc=1&refRID=8BJD40W7JP80GTT620N1,Daniel Deronda,https://www.amazon.com/Daniel-Deronda-George-Eliot/dp/0140434275/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0140434275&pd_rd_r=8BJD40W7JP80GTT620N1&pd_rd_w=l3sRg&pd_rd_wg=uUUHm&psc=1&refRID=8BJD40W7JP80GTT620N1
"From the Earth to the Moon (Extraordinary Voyages, #4)",9781598184549,https://www.goodreads.com/buy_buttons/12/follow?book_id=32827&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$10.95,The Mysterious Island (Wordsworth Classics),https://www.amazon.com/Mysterious-Island-Wordsworth-Classics/dp/1840226242/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1840226242&pd_rd_r=N25HANHNWG72SWW0DNKK&pd_rd_w=egL1G&pd_rd_wg=gOGgg&psc=1&refRID=N25HANHNWG72SWW0DNKK,Journey to the Center of the Earth (Dover Thrift Editions),https://www.amazon.com/Journey-Center-Earth-Thrift-Editions/dp/0486440885/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0486440885&pd_rd_r=N25HANHNWG72SWW0DNKK&pd_rd_w=egL1G&pd_rd_wg=gOGgg&psc=1&refRID=N25HANHNWG72SWW0DNKK,"20,000 Leagues Under the Sea (Wordsworth Classics)",https://www.amazon.com/000-Leagues-Under-Wordsworth-Classics/dp/1853260312/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=1853260312&pd_rd_r=N25HANHNWG72SWW0DNKK&pd_rd_w=egL1G&pd_rd_wg=gOGgg&psc=1&refRID=N25HANHNWG72SWW0DNKK,Around the World in 80 Days,https://www.amazon.com/Around-World-Days-Jules-Verne/dp/1503215156/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1503215156&pd_rd_r=N25HANHNWG72SWW0DNKK&pd_rd_w=egL1G&pd_rd_wg=gOGgg&psc=1&refRID=N25HANHNWG72SWW0DNKK,The Time Machine (Dover Thrift Editions),https://www.amazon.com/Time-Machine-Dover-Thrift-Editions/dp/0486284727/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0486284727&pd_rd_r=N25HANHNWG72SWW0DNKK&pd_rd_w=egL1G&pd_rd_wg=gOGgg&psc=1&refRID=N25HANHNWG72SWW0DNKK
The Water Babies,9781853261480,https://www.goodreads.com/buy_buttons/12/follow?book_id=42573&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$3.95,Peter Pan,https://www.amazon.com/Peter-Pan-J-M-Barrie/dp/142095248X/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=142095248X&pd_rd_r=WGXB9N130J8M5AWXGVAV&pd_rd_w=1tDL2&pd_rd_wg=heayP&psc=1&refRID=WGXB9N130J8M5AWXGVAV,Know and Tell: The Art of Narration,https://www.amazon.com/Know-Tell-Narration-Karen-Glass/dp/1983560189/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=1983560189&pd_rd_r=WGXB9N130J8M5AWXGVAV&pd_rd_w=1tDL2&pd_rd_wg=heayP&psc=1&refRID=WGXB9N130J8M5AWXGVAV,Children of the New Forest (Wordsworth Children's Classics),https://www.amazon.com/Children-Forest-Wordsworth-Childrens-Classics/dp/1853261106/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=1853261106&pd_rd_r=WGXB9N130J8M5AWXGVAV&pd_rd_w=1tDL2&pd_rd_wg=heayP&psc=1&refRID=WGXB9N130J8M5AWXGVAV,Secrets of the Woods (Yesterday's Classics),https://www.amazon.com/Secrets-Woods-Yesterdays-Classics-William/dp/1599150220/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1599150220&pd_rd_r=WGXB9N130J8M5AWXGVAV&pd_rd_w=1tDL2&pd_rd_wg=heayP&psc=1&refRID=WGXB9N130J8M5AWXGVAV,Alice's Adventures in Wonderland & Through the Looking-Glass…,https://www.amazon.com/Adventures-Wonderland-Through-Looking-Glass-Classics/dp/0553213458/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0553213458&pd_rd_r=WGXB9N130J8M5AWXGVAV&pd_rd_w=1tDL2&pd_rd_wg=heayP&psc=1&refRID=WGXB9N130J8M5AWXGVAV
Smoke,9781885983008,https://www.goodreads.com/buy_buttons/12/follow?book_id=868385&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$15.00,Revolution Every Day: A Calendar,https://www.amazon.com/Revolution-Every-Day-Robert-Bird/dp/8867492942/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=8867492942&pd_rd_r=1NCK5HQ0S37KBT5EGFTD&pd_rd_w=ads5h&pd_rd_wg=eiM1G&psc=1&refRID=1NCK5HQ0S37KBT5EGFTD,One Day in the Life of Ivan Denisovich (Everyman's Library),https://www.amazon.com/Life-Ivan-Denisovich-Everymans-Library/dp/0679444645/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0679444645&pd_rd_r=1NCK5HQ0S37KBT5EGFTD&pd_rd_w=ads5h&pd_rd_wg=eiM1G&psc=1&refRID=1NCK5HQ0S37KBT5EGFTD,Rudin (Penguin Classics),https://www.amazon.com/Rudin-Penguin-Classics-Ivan-Turgenev/dp/0140443045/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0140443045&pd_rd_r=1NCK5HQ0S37KBT5EGFTD&pd_rd_w=ads5h&pd_rd_wg=eiM1G&psc=1&refRID=1NCK5HQ0S37KBT5EGFTD,The Real Life of Sebastian Knight (New Directions Paperbook),https://www.amazon.com/Real-Sebastian-Knight-Directions-Paperbook/dp/0811217507/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0811217507&pd_rd_r=1NCK5HQ0S37KBT5EGFTD&pd_rd_w=ads5h&pd_rd_wg=eiM1G&psc=1&refRID=1NCK5HQ0S37KBT5EGFTD,Virgin Soil (New York Review Books Classics),https://www.amazon.com/Virgin-Soil-Review-Books-Classics/dp/0940322455/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0940322455&pd_rd_r=1NCK5HQ0S37KBT5EGFTD&pd_rd_w=ads5h&pd_rd_wg=eiM1G&psc=1&refRID=1NCK5HQ0S37KBT5EGFTD
Orley Farm,9780192838568,https://www.goodreads.com/buy_buttons/15/follow?book_id=242589&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,$18.62,Lady Anna (Oxford World's Classics),https://www.amazon.com/Lady-Anna-Oxford-Worlds-Classics/dp/0199537712/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0199537712&pd_rd_r=JM7FQWJQE8HWYSN2XYQ2&pd_rd_w=3Jg6F&pd_rd_wg=RD3pf&psc=1&refRID=JM7FQWJQE8HWYSN2XYQ2,The American Senator (Oxford World's Classics),https://www.amazon.com/American-Senator-Oxford-Worlds-Classics/dp/0199537631/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0199537631&pd_rd_r=JM7FQWJQE8HWYSN2XYQ2&pd_rd_w=3Jg6F&pd_rd_wg=RD3pf&psc=1&refRID=JM7FQWJQE8HWYSN2XYQ2,Rachel Ray (Oxford World's Classics),https://www.amazon.com/Rachel-Ray-Oxford-Worlds-Classics/dp/0199537763/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0199537763&pd_rd_r=JM7FQWJQE8HWYSN2XYQ2&pd_rd_w=3Jg6F&pd_rd_wg=RD3pf&psc=1&refRID=JM7FQWJQE8HWYSN2XYQ2,Dr. Wortle's School (Penguin Classics),https://www.amazon.com/Dr-Wortles-School-Penguin-Classics/dp/0140434046/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0140434046&pd_rd_r=JM7FQWJQE8HWYSN2XYQ2&pd_rd_w=3Jg6F&pd_rd_wg=RD3pf&psc=1&refRID=JM7FQWJQE8HWYSN2XYQ2,He Knew He Was Right (Penguin Classics),https://www.amazon.com/Knew-Was-Right-Penguin-Classics/dp/0140433910/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0140433910&pd_rd_r=JM7FQWJQE8HWYSN2XYQ2&pd_rd_w=3Jg6F&pd_rd_wg=RD3pf&psc=1&refRID=JM7FQWJQE8HWYSN2XYQ2
The Maine Woods,9780691118772,https://www.goodreads.com/buy_buttons/12/follow?book_id=67503&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$19.78,Walking,https://www.amazon.com/Walking-Henry-David-Thoreau/dp/1451529791/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1451529791&pd_rd_r=36XYFKQACZ3TZEXK903D&pd_rd_w=yUO4B&pd_rd_wg=2qR40&psc=1&refRID=36XYFKQACZ3TZEXK903D,Walden and Civil Disobedience,https://www.amazon.com/Walden-Civil-Disobedience-Henry-Thoreau/dp/0451532163/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0451532163&pd_rd_r=36XYFKQACZ3TZEXK903D&pd_rd_w=yUO4B&pd_rd_wg=2qR40&psc=1&refRID=36XYFKQACZ3TZEXK903D,"Do Glaciers Listen?: Local Knowledge, Colonial Encounters, and Social Imagination (Canadian Studies Series)",https://www.amazon.com/Glaciers-Listen-Knowledge-Encounters-Imagination/dp/0774811870/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0774811870&pd_rd_r=36XYFKQACZ3TZEXK903D&pd_rd_w=yUO4B&pd_rd_wg=2qR40&psc=1&refRID=36XYFKQACZ3TZEXK903D,"Changes in the Land: Indians, Colonists, and the Ecology of New England",https://www.amazon.com/Changes-Land-Indians-Colonists-Ecology/dp/0809016346/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0809016346&pd_rd_r=36XYFKQACZ3TZEXK903D&pd_rd_w=yUO4B&pd_rd_wg=2qR40&psc=1&refRID=36XYFKQACZ3TZEXK903D,Wastelanding: Legacies of Uranium Mining in Navajo Country,https://www.amazon.com/Wastelanding-Legacies-Uranium-Mining-Country/dp/081669267X/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=081669267X&pd_rd_r=36XYFKQACZ3TZEXK903D&pd_rd_w=yUO4B&pd_rd_wg=2qR40&psc=1&refRID=36XYFKQACZ3TZEXK903D
Walking,9781596058811,https://www.goodreads.com/buy_buttons/12/follow?book_id=227113&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$3.29,Nature,https://www.amazon.com/Nature-Ralph-Waldo-Emerson/dp/1548000019/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=1548000019&pd_rd_r=2F3RBG7WNZVN4CK8VMKS&pd_rd_w=1Oedn&pd_rd_wg=HGiaN&psc=1&refRID=2F3RBG7WNZVN4CK8VMKS,Walden,https://www.amazon.com/Walden-Henry-David-Thoreau/dp/1619493918/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=1619493918&pd_rd_r=2F3RBG7WNZVN4CK8VMKS&pd_rd_w=1Oedn&pd_rd_wg=HGiaN&psc=1&refRID=2F3RBG7WNZVN4CK8VMKS,Walden and Civil Disobedience,https://www.amazon.com/Walden-Civil-Disobedience-Henry-Thoreau/dp/0451532163/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=0451532163&pd_rd_r=2F3RBG7WNZVN4CK8VMKS&pd_rd_w=1Oedn&pd_rd_wg=HGiaN&psc=1&refRID=2F3RBG7WNZVN4CK8VMKS,"The Journal of Henry David Thoreau, 1837-1861 (New York Review Books Classics)",https://www.amazon.com/Journal-Thoreau-1837-1861-Review-Classics/dp/159017321X/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=159017321X&pd_rd_r=2F3RBG7WNZVN4CK8VMKS&pd_rd_w=1Oedn&pd_rd_wg=HGiaN&psc=1&refRID=2F3RBG7WNZVN4CK8VMKS,Thoreau and the Art of Life: Reflections on Nature and the Mystery of Existence,https://www.amazon.com/Thoreau-Art-Life-Reflections-Existence/dp/1556438834/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=1556438834&pd_rd_r=2F3RBG7WNZVN4CK8VMKS&pd_rd_w=1Oedn&pd_rd_wg=HGiaN&psc=1&refRID=2F3RBG7WNZVN4CK8VMKS
"Phineas Finn (Palliser, #2)",9780140430851,https://www.goodreads.com/buy_buttons/12/follow?book_id=374352&ref=x_gr_w_bb&tag=x_gr_w_bb-20,$17.91,Can You Forgive Her? (Penguin Classics),https://www.amazon.com/Can-You-Forgive-Penguin-Classics/dp/0140430865/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0140430865&pd_rd_r=AJR5J9QDGR8S1XRY5BB6&pd_rd_w=J9iWW&pd_rd_wg=qxBqc&psc=1&refRID=AJR5J9QDGR8S1XRY5BB6,The Prime Minister (Oxford World's Classics),https://www.amazon.com/Prime-Minister-Oxford-Worlds-Classics/dp/0199587191/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0199587191&pd_rd_r=AJR5J9QDGR8S1XRY5BB6&pd_rd_w=J9iWW&pd_rd_wg=qxBqc&psc=1&refRID=AJR5J9QDGR8S1XRY5BB6,Phineas Redux (Oxford World's Classics),https://www.amazon.com/Phineas-Redux-Oxford-Worlds-Classics/dp/019958348X/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=019958348X&pd_rd_r=AJR5J9QDGR8S1XRY5BB6&pd_rd_w=J9iWW&pd_rd_wg=qxBqc&psc=1&refRID=AJR5J9QDGR8S1XRY5BB6,The Duke's Children (Oxford World's Classics),https://www.amazon.com/Dukes-Children-Oxford-Worlds-Classics/dp/0199578389/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=0199578389&pd_rd_r=AJR5J9QDGR8S1XRY5BB6&pd_rd_w=J9iWW&pd_rd_wg=qxBqc&psc=1&refRID=AJR5J9QDGR8S1XRY5BB6,The Eustace Diamonds (Oxford World's Classics),https://www.amazon.com/Eustace-Diamonds-Oxford-Worlds-Classics/dp/0199587787/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=0199587787&pd_rd_r=AJR5J9QDGR8S1XRY5BB6&pd_rd_w=J9iWW&pd_rd_wg=qxBqc&psc=1&refRID=AJR5J9QDGR8S1XRY5BB6
Letters from My Windmill,9780140443349,https://www.goodreads.com/buy_buttons/15/follow?book_id=631035&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,$9.95,A Year in Provence,https://www.amazon.com/Year-Provence-Peter-Mayle/dp/0679731148/ref=pd_sim_14_1?_encoding=UTF8&pd_rd_i=0679731148&pd_rd_r=F9BMJWFRMQCG2EHQFBYV&pd_rd_w=1FbbA&pd_rd_wg=f7WJQ&psc=1&refRID=F9BMJWFRMQCG2EHQFBYV,My Father's Glory & My Mother's Castle: Marcel Pagnol's Memories of…,https://www.amazon.com/Fathers-Glory-Mothers-Castle-Childhood/dp/0865472572/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0865472572&pd_rd_r=F9BMJWFRMQCG2EHQFBYV&pd_rd_w=1FbbA&pd_rd_wg=f7WJQ&psc=1&refRID=F9BMJWFRMQCG2EHQFBYV,Lettres de Mon Moulin (English and French Edition),https://www.amazon.com/Lettres-Mon-Moulin-English-French/dp/2266156284/ref=pd_sim_14_3?_encoding=UTF8&pd_rd_i=2266156284&pd_rd_r=F9BMJWFRMQCG2EHQFBYV&pd_rd_w=1FbbA&pd_rd_wg=f7WJQ&psc=1&refRID=F9BMJWFRMQCG2EHQFBYV,Tartarin of Tarascon,https://www.amazon.com/Tartarin-Tarascon-Alphonse-Daudet/dp/1530492211/ref=pd_sim_14_4?_encoding=UTF8&pd_rd_i=1530492211&pd_rd_r=F9BMJWFRMQCG2EHQFBYV&pd_rd_w=1FbbA&pd_rd_wg=f7WJQ&psc=1&refRID=F9BMJWFRMQCG2EHQFBYV,Lettres de mon moulin,https://www.amazon.com/Lettres-mon-moulin-Alphonse-Daudet/dp/1534711872/ref=pd_sim_14_5?_encoding=UTF8&pd_rd_i=1534711872&pd_rd_r=F9BMJWFRMQCG2EHQFBYV&pd_rd_w=1FbbA&pd_rd_wg=f7WJQ&psc=1&refRID=F9BMJWFRMQCG2EHQFBYV
