"Book Title","ISBN","Rating","Author","Language","Pages","Publication","Publish Date","Genres","Book URL"
"Never Let Me Go","9781400078776","3.81","Kazuo Ishiguro","English","288","Vintage Books","August 31st 2010","['Fiction', 'Science Fiction', 'Science Fiction', 'Dystopia']","https://www.goodreads.com/book/show/6334.Never_Let_Me_Go"
"Eat, Pray, Love","9780143038412","3.52","Elizabeth Gilbert","English","334","Riverhead Books","February 1st 2007","['Nonfiction', 'Autobiography', 'Memoir', 'Travel', 'Biography', 'Womens Fiction', 'Chick Lit', 'Spirituality', 'Romance', 'Contemporary', 'Biography', 'Autobiography', 'Biography Memoir']","https://www.goodreads.com/book/show/19501.Eat_Pray_Love"
"The Name of the Wind (The Kingkiller Chronicle, #1)","9780756404079","4.55","Patrick Rothfuss","English","662","Penguin Group DAW","April 2007","['Fantasy', 'Fiction', 'Fantasy', 'Epic Fantasy']","https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind"
"The Thirteenth Tale","9780743298025","3.95","Diane Setterfield","English","406","Atria Books","September 12th 2006","['Historical', 'Historical Fiction', 'Gothic', 'Writing', 'Books About Books', 'Adult']","https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale"
"Bel Canto","9780060838720","3.93","Ann Patchett","English","352","Harper Perennial","August 2nd 2005","['Fiction', 'Contemporary', 'Book Club', 'Literary Fiction']","https://www.goodreads.com/book/show/5826.Bel_Canto"
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","9780739303405","3.99","Erik Larson","English","447","Random House Audio Publishing Group","February 11th 2003","['Nonfiction', 'History', 'Crime', 'True Crime', 'Mystery', 'Crime']","https://www.goodreads.com/book/show/21996.The_Devil_in_the_White_City"
"The Amazing Adventures of Kavalier & Clay","9780312282998","4.17","Michael Chabon","English","639","Picador USA","August 25th 2001","['Fiction', 'Historical', 'Historical Fiction', 'Literature', 'Novels', 'Historical', 'Literary Fiction', 'Contemporary', 'Sequential Art', 'Comics', 'Literature', 'Jewish', 'Literature', 'American']","https://www.goodreads.com/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay"
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)","9780743227445","4.05","Philippa Gregory","English","661","Touchstone","May 21st 2003","['Historical', 'Historical Fiction', 'Fiction', 'Historical', 'Romance']","https://www.goodreads.com/book/show/37470.The_Other_Boleyn_Girl"
"Me Talk Pretty One Day","9780349113913","3.97","David Sedaris","English","272","Little, Brown and Company","2001","['Nonfiction', 'Humor', 'Autobiography', 'Memoir', 'Writing', 'Essays', 'Short Stories']","https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day"
"Eragon (The Inheritance Cycle, #1)","9780375826696","3.87","Christopher Paolini","English","503","Alfred A. Knopf Books for Young Readers","April 2005","['Fantasy', 'Young Adult', 'Fiction', 'Fantasy', 'Dragons']","https://www.goodreads.com/book/show/113436.Eragon"
"Snow Flower and the Secret Fan","9780812968064","4.06","Lisa See","English","269","Random House","February 21st 2006","['Historical', 'Historical Fiction', 'Fiction', 'Cultural', 'China', 'Historical', 'Cultural', 'Asia', 'Book Club', 'Adult', 'Adult Fiction', 'Literature', 'Asian Literature', 'Novels']","https://www.goodreads.com/book/show/1103.Snow_Flower_and_the_Secret_Fan"
