Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL,,,,,,,,
"City of Bones (The Mortal Instruments, #1)",9781416914280,https://dj6cnfthgyqas.cloudfront.net/1416914285-original.jpg,,,$17.57,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781416914280,$24.99,http://www.indiebound.org/book/9781416914280?aff=rifflebooks,,,,,,,,
The Five People You Meet in Heaven,9781401308582,https://dj6cnfthgyqas.cloudfront.net/1401308589-original.jpg,$12.99,https://play.google.com/store/books/details/Mitch_Albom_The_Five_People_You_Meet_in_Heaven?id=dUeZAAAAQBAJ,$10.07,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781401308582,$16.00,http://www.indiebound.org/book/9781401308582?aff=rifflebooks,,,,,,,,
Extremely Loud and Incredibly Close,9780618711659,https://dj6cnfthgyqas.cloudfront.net/0618711651-original.jpg,$12.28,https://play.google.com/store/books/details/Jonathan_Safran_Foer_Extremely_Loud_and_Incredibly?id=mYeIEPcp-WAC,$10.55,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780618711659,$15.99,http://www.indiebound.org/book/9780618711659?aff=rifflebooks,,,,,,,,
"The Girl Who Played with Fire (Millennium, #2)",9780307269980,https://dj6cnfthgyqas.cloudfront.net/0307269981-original.jpg,,,$29.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780307269980,$29.95,http://www.indiebound.org/book/9780307269980?aff=rifflebooks,,,,,,,,
Looking for Alaska,9780142402511,https://dj6cnfthgyqas.cloudfront.net/0142402516-original.jpg,$10.99,https://play.google.com/store/books/details/John_Green_Looking_for_Alaska?id=5v1NBhR1W88C,$8.05,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780142402511,$10.99,http://www.indiebound.org/book/9780142402511?aff=rifflebooks,,,,,,,,
The Guernsey Literary and Potato Peel Pie Society,9780385340991,https://dj6cnfthgyqas.cloudfront.net/1741751683-original.jpg,$13.99,https://play.google.com/store/books/details/Annie_Barrows_The_Guernsey_Literary_and_Potato_Pee?id=eK0SnBnpkA8C,$21.44,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780385340991,$24.00,http://www.indiebound.org/book/9780385340991?aff=rifflebooks,,,,,,,,
Never Let Me Go,9781400078776,https://dj6cnfthgyqas.cloudfront.net/1400078776-original.jpg,$12.99,https://play.google.com/store/books/details/Kazuo_Ishiguro_Never_Let_Me_Go?id=OBwDg13MGkMC,$10.97,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781400078776,$16.00,http://www.indiebound.org/book/9781400078776?aff=rifflebooks,,,,,,,,
"Eat, Pray, Love",9780143038412,https://dj6cnfthgyqas.cloudfront.net/0143038419-original.jpg,$12.99,https://play.google.com/store/books/details/Elizabeth_Gilbert_Eat_Pray_Love_10th_Anniversary_E?id=EbquUB1D6B8C,$11.58,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780143038412,$17.00,http://www.indiebound.org/book/9780143038412?aff=rifflebooks,,,,,,,,
"The Name of the Wind (The Kingkiller Chronicle, #1)",9780756404079,https://dj6cnfthgyqas.cloudfront.net/B0010SKUYM-original.jpg,$9.99,https://play.google.com/store/books/details/Patrick_Rothfuss_The_Name_of_the_Wind?id=TG5DXNXv2tAC,$25.08,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780756404079,$30.00,http://www.indiebound.org/book/9780756404079?aff=rifflebooks,,,,,,,,
The Thirteenth Tale,9780743298025,https://dj6cnfthgyqas.cloudfront.net/0743298020-original.jpg,$9.99,https://play.google.com/store/books/details/Diane_Setterfield_The_Thirteenth_Tale?id=VFRGwWaZkfQC,$24.57,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780743298025,$26.00,http://www.indiebound.org/book/9780743298025?aff=rifflebooks,,,,,,,,
Bel Canto,9780060838720,https://dj6cnfthgyqas.cloudfront.net/0060838728-original.jpg,$11.99,https://play.google.com/store/books/details/Ann_Patchett_Bel_Canto?id=mDURpw3IjOIC,$11.55,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780060838720,$15.99,http://www.indiebound.org/book/9780060838720?aff=rifflebooks,,,,,,,,
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",9780739303405,,,,,,,,,,,,,,,
