Book Title,ISBN,Book Image,Google Play,Google Play URL,Barnes and Noble,Barnes and Noble URL,Indie Bound,Indie Bound URL
My Brilliant Career,9781600963780,https://dj6cnfthgyqas.cloudfront.net/1600963781-original.jpg,$2.99,https://play.google.com/store/books/details/Miles_Franklin_My_Brilliant_Career?id=46GbDAAAQBAJ,$13.94,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781600963780,,
The Virginian: A Horseman of the Plains,9780743238021,https://dj6cnfthgyqas.cloudfront.net/0743238028-original.jpg,$3.03,https://play.google.com/store/books/details/Owen_Wister_The_Virginian?id=MiWDAwAAQBAJ,$27.75,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780743238021,,
Ghost Stories of an Antiquary,9780486227580,https://dj6cnfthgyqas.cloudfront.net/0486227588-original.jpg,$3.03,https://play.google.com/store/books/details/M_R_James_Ghost_Stories_of_an_Antiquary?id=W-AVBgAAQBAJ,$14.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780486227580,$14.95,http://www.indiebound.org/book/9780486227580?aff=rifflebooks
The Education of Henry Adams,9781406802788,https://dj6cnfthgyqas.cloudfront.net/1406802786-original.jpg,$3.03,https://play.google.com/store/books/details/Henry_Adams_The_Education_of_Henry_Adams?id=6QerCgAAQBAJ,$14.90,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781406802788,$14.90,http://www.indiebound.org/book/9781406802788?aff=rifflebooks
"Love Among the Chickens (Ukridge, #1)",9780141187044,https://dj6cnfthgyqas.cloudfront.net/0141187042-original.jpg,$14.95,https://play.google.com/store/audiobooks/details/P_G_Wodehouse_Love_among_the_Chickens?id=AQAAAIDo1ANU-M,,,,
Seven Who Were Hanged,9781406933734,,,,,,,
The Violet Fairy Book,9780486216751,https://dj6cnfthgyqas.cloudfront.net/0486216756-original.jpg,$4.03,https://play.google.com/store/books/details/Andrew_Lang_The_Violet_Fairy_Book?id=MNRbDgAAQBAJ,$14.23,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780486216751,$14.95,http://www.indiebound.org/book/9780486216751?aff=rifflebooks
Three Lives,9780486280592,https://dj6cnfthgyqas.cloudfront.net/0486280594-original.jpg,$16.99,https://play.google.com/store/books/details/Noah_Feldman_The_Three_Lives_of_James_Madison?id=yMMPDgAAQBAJ,$5.00,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780486280592,$5.00,http://www.indiebound.org/book/9780486280592?aff=rifflebooks
The Dance of Death,9781854597502,https://dj6cnfthgyqas.cloudfront.net/1854597507-original.jpg,$10.99,https://play.google.com/store/books/details/Douglas_Preston_Dance_of_Death?id=kMVzWh12-jsC,$10.95,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9781854597502,$10.95,http://www.indiebound.org/book/9781854597502?aff=rifflebooks
The Secret Sharer and other stories,9780753807224,https://dj6cnfthgyqas.cloudfront.net/075380722X-original.jpg,$1.99,https://play.google.com/store/books/details/Joseph_Conrad_The_Secret_Sharer?id=JSTsAgAAQBAJ,,,,
The Beast in the Jungle,9781419153761,https://dj6cnfthgyqas.cloudfront.net/1419153765-original.jpg,$3.39,https://play.google.com/store/books/details/Henry_James_The_Beast_in_the_Jungle?id=EemNmuNi5J0C,,,,
Penguin Island,9781426404054,https://dj6cnfthgyqas.cloudfront.net/1426404050-original.jpg,$1.24,https://play.google.com/store/books/details/Anatole_France_Penguin_Island?id=tTbAAwAAQBAJ,,,$27.75,http://www.indiebound.org/book/9781426404054?aff=rifflebooks
Creative Evolution,9781596053090,https://dj6cnfthgyqas.cloudfront.net/0760765480-original.jpg,$9.99,https://play.google.com/store/books/details/Henri_Bergson_Creative_Evolution?id=hlC0oTMJ2hsC,,,$16.99,http://www.indiebound.org/book/9781596053090?aff=rifflebooks
Kwaidan: Stories and Studies of Strange Things,9780804836623,https://dj6cnfthgyqas.cloudfront.net/0804836620-original.jpg,$2.99,https://play.google.com/store/books/details/Lafcado_Hearn_Kwaidan?id=cEnsAgAAQBAJ,$14.39,http://www.barnesandnoble.com/s/?store=allproducts&keyword=9780804836623,$16.95,http://www.indiebound.org/book/9780804836623?aff=rifflebooks
